Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Description,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL
Local Hero,1983,Bill Forsyth,"['Burt Lancaster', 'Peter Riegert', 'Denis Lawson', 'Fulton Mackay', 'Peter Capaldi', 'Jennifer Black', 'Jenny Seagrove', 'Norman Chancer', 'Rikki Fulton', 'Alex Norton', 'Christopher Rozycki', 'Gyearbuor Asante', 'John M. Jackson', 'Dan Ammerman', 'Tam Dean Burn', 'John Gordon Sinclair', 'Caroline Guthrie', 'Jimmy Yuill', 'Karen Douglas', 'Kenny Ireland', 'Sandra Voe', 'Harlan Jordan', 'Charles Kearney', 'David Mowat', 'John Poland', 'Ann Scott-Jones', 'Ian Stewart', 'Jonathan Watson', 'Dave Anderson', 'Ray Jeffries', 'James Kennedy', 'Willie Joss', 'Tanya Ticktin', 'Edith Ruddick', 'Betty Macey', 'Michelle McCarel', 'Anne Thompson', 'Brian Rowan', 'Mark Winchester', 'Alan Clark', 'Alan Darby', 'Roddy Murray', 'Dale Winchester', 'Luke Coulter', 'Buddy Quaid']",3.85,nan,"['Drama', 'Comedy']",111,['UK'],English,"['English', 'Japanese', 'Russian']",An American oil company sends a man to Scotland to buy up an entire village where they want to build a refinery. But things don't go as expected.,"['Enigma Productions', 'Goldcrest', 'Film4 Productions', 'Celandine Films']",36987,20347,10959,869,56,121,139,588,926,3459,4876,7987,3247,3706,25105,https://letterboxd.com/film/local-hero/
Insomnia,2002,Christopher Nolan,"['Al Pacino', 'Robin Williams', 'Hilary Swank', 'Martin Donovan', 'Nicky Katt', 'Maura Tierney', 'Paul Dooley', 'Jonathan Jackson', 'Katharine Isabelle', 'Larry Holden', 'Jay Brazeau', 'Kerry Sandomirsky', 'Yan-Kay Crystal Lowe', 'Lorne Cardinal', 'Paula Shaw', ""Oliver 'Ole' Zemen"", 'Tasha Simms', 'Malcolm Boddington', 'James Hutson', 'Andrew Campbell', 'Emily Perkins', 'Dean Wray', 'Chris Gauthier', 'Kate Robbins', 'Ian Tracey']",3.53,nan,"['Crime', 'Thriller']",118,['USA'],English,['English'],Two Los Angeles homicide detectives are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen.,"['Alcon Entertainment', 'Witt/Thomas Productions', 'Section Eight']",338163,81697,64695,165,355,1145,1410,7636,13177,53466,71668,60399,10840,7408,227504,https://letterboxd.com/film/insomnia-2002/
Coherence,2013,James Ward Byrkit,"['Emily Baldoni', 'Maury Sterling', 'Nicholas Brendon', 'Lorene Scafaria', 'Elizabeth Gracen', 'Hugo Armstrong', 'Alex Manugian', 'Lauren Maher', 'Kelly Donovan', 'Aqueela Zoll', 'Mark Ballou', 'Alexis Boozer Sterling']",3.75,nan,"['Science Fiction', 'Thriller']",89,"['UK', 'USA']",English,['English'],"On the night of an astronomical anomaly, eight friends at a dinner party experience a troubling chain of reality bending events.","['Bellanova Films', 'Ugly Duckling Films']",299557,60929,88869,2800,629,1382,1512,5997,9348,33333,52401,77476,24986,21921,228985,https://letterboxd.com/film/coherence/
Days of Heaven,1978,Terrence Malick,"['Richard Gere', 'Brooke Adams', 'Sam Shepard', 'Linda Manz', 'Robert J. Wilke', 'Jackie Shultis', 'Stuart Margolin', 'Timothy Scott', 'Gene Bell', 'Doug Kershaw', 'Richard Libertini', 'Frenchie Lemond', 'Sahbra Markus', 'Bob Wilson', 'Muriel Jolliffe', 'John Wilkinson', 'King Cole', 'Terrence Malick']",4.11,nan,"['Romance', 'Drama']",94,['USA'],English,"['English', 'Italian']","In 1916, a Chicago steel worker accidentally kills his supervisor and flees to the Texas panhandle with his girlfriend and little sister to work harvesting wheat in the fields of a stoic farmer.",['Paramount Pictures'],164115,75906,53089,2200,122,345,439,1850,2821,10881,18219,36384,22061,22762,115884,https://letterboxd.com/film/days-of-heaven/
The Garden,2005,Frederick Wiseman,nan,nan,nan,['Documentary'],196,['USA'],English,['English'],A documentary on Madison Square Garden. Filmed in 1997 and prevented from public screening by the operators of Madison Square Garden.,nan,287,396,93,2,1,0,0,2,4,20,40,59,30,18,174,https://letterboxd.com/film/the-garden-2005/
At Berkeley,2013,Frederick Wiseman,"['Anahid Modrek', 'Sharon Inkelas', 'George Lakoff']",3.94,nan,['Documentary'],244,['USA'],English,['English'],"Direct cinema pioneer Frederick Wiseman takes an in-depth look at the preeminent American university during a fall semester that saw a vigorous debate taking place over tuition hikes, budget cuts, and the future of higher education in the United States.","['JustFilms / Ford Foundation', 'ITVS', 'Corporation for Public Broadcasting', 'Sundance Institute', 'Pershing Square Foundation']",3091,3110,779,5,3,7,9,41,70,191,296,654,294,249,1814,https://letterboxd.com/film/at-berkeley/
City Hall,2020,Frederick Wiseman,['Marty Walsh'],3.94,nan,['Documentary'],272,['USA'],English,['English'],"An epic look at Boston’s city government, covering racial justice, housing, climate action, and more.","['ITVS', 'Corporation for Public Broadcasting', 'JustFilms / Ford Foundation', 'Zipporah Films', 'Sundance Institute', 'PBS']",4686,4135,1446,7,6,11,14,50,84,293,526,1166,534,385,3069,https://letterboxd.com/film/city-hall-2020/
1883,2021,"Taylor Sheridan, Ben Richardson","['Sam Elliott', 'Tim McGraw', 'Faith Hill', 'Isabel May', 'LaMonica Garrett', 'Marc Rissmann', 'Audie Rick', 'James Landry Hébert']",4.16,nan,"['Western', 'Drama']",561,['USA'],English,"['English', 'German']","Follow the Dutton family as they embark on a journey west through the Great Plains toward the last bastion of untamed America. A stark retelling of Western expansion, and an intense study of one family fleeing poverty to seek a better future in America’s promised land — Montana.","['101 Studios', 'The Linson Company', 'Bosque Ranch Productions', 'MTV Entertainment Studios']",10640,1815,3964,76,14,39,30,92,139,468,779,2441,1742,2620,8364,https://letterboxd.com/film/1883/
Master and Commander: The Far Side of the World,2003,Peter Weir,"['Russell Crowe', 'Paul Bettany', ""James D'Arcy"", 'Robert Pugh', 'David Threlfall', 'Lee Ingleby', 'Max Pirkis', 'Max Benitz', 'Billy Boyd', 'Edward Woodall', 'Chris Larkin', 'George Innes', 'Richard McCabe', 'Mark Lewis Jones', 'Jack Randall', 'Richard Pates', 'Ian Mercer', 'Tony Dolan', 'Bryan Dick', 'Joseph Morgan', 'William Mannering', 'Patrick Gallagher', 'Alex Palmer', 'John DeSantis', 'Ousmane Thiam', 'Thierry Segall']",3.95,nan,"['Drama', 'Adventure', 'War']",138,['USA'],English,"['English', 'French', 'Portuguese']","After an abrupt and violent encounter with a French warship inflicts severe damage upon his ship, a captain of the British Royal Navy begins a chase over two oceans to capture or destroy the enemy, though he must weigh his commitment to duty and ferocious pursuit of glory against the safety of his devoted crew, including the ship's thoughtful surgeon, his best friend.","['20th Century Fox', 'Miramax', 'Universal Pictures', 'Samuel Goldwyn Films']",194520,41283,48969,2400,211,624,568,2909,3893,15227,23522,41246,18479,18193,124872,https://letterboxd.com/film/master-and-commander-the-far-side-of-the-world/
Sicario,2015,Denis Villeneuve,"['Emily Blunt', 'Benicio del Toro', 'Josh Brolin', 'Victor Garber', 'Jon Bernthal', 'Daniel Kaluuya', 'Jeffrey Donovan', 'Raoul Max Trujillo', 'Julio Cesar Cedillo', 'Hank Rogerson', 'Bernardo P. Saracino', 'Maximiliano Hernández', 'Kevin Wiggins', 'Edgar Arreola', 'Kim Larrichio', 'Jesus Nevarez-Castillo', 'Dylan Kenin', 'John Trejo', 'Marty Lindsey', 'Alex Knight', 'Rio Alexander', 'Eric Steinig', 'Michael-David Aragon', 'Vic Browder', 'Boots Southerland', 'Adam Taylor', 'David Garver', 'Jesse Ramirez', 'James Espinoza', 'Arrazolo', 'Tomas Martinez', 'Alejandro Rodriguez', 'Jorge Rocha Fuentez', 'Johnny Palomarez Jr.', 'Eb Lottimer', 'Matthew Tompkins', 'Michael Sheets', 'Sarah Minnich', 'Matthew Page', 'Lora Martinez-Cunningham', 'Julian Ortega', 'Ian Posada', 'Antonio Leyba', 'Frank Andrade', 'Juan Carlos Morales', 'Jesus Mayorga', 'Joseph P. Santillanes', 'Basil Iwanyk Sr.', 'Ivan Allen', 'John Burke', 'Tait Fletcher', 'Cesar Miramontes', 'Johnny Otto', 'Eddie Perez', 'Kaelee Vigil', 'Rick Anglada']",3.98,nan,"['Action', 'Thriller', 'Crime']",122,"['Mexico', 'USA']",English,"['English', 'Spanish']",An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,"['Thunder Road', 'Black Label Media', 'Lionsgate', 'Redrum']",844356,137712,245572,5000,789,2372,2003,10554,14185,62703,100971,224835,103403,78980,600795,https://letterboxd.com/film/sicario-2015/
