Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Description,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL
Triangle of Sadness,2022,Ruben Östlund,"['Harris Dickinson', 'Charlbi Dean', 'Woody Harrelson', 'Zlatko Burić', 'Vicki Berlin', 'Dolly de Leon', 'Henrik Dorsin', 'Iris Berben', 'Jean-Christophe Folly', 'Amanda Walker', 'Oliver Ford Davies', 'Sunnyi Melles', 'Thobias Thorwid', 'Jiannis Moustos', 'Timoleon Gketsos', 'Alicia Eriksson', 'Carolina Gynning', 'Ralph Schicha', 'Arvin Kananian', 'Mia Benson', 'Stefan Gödicke', 'Nana Manu', 'Alexander Virenhem', 'Malte Gårdinger', 'William-Patrik Molvén', 'Fredrik Quinones', 'Filip Roséen', 'Chidiegwu Chidi', 'Charlie Westerberg', 'Erik Andersson', 'Hamlet Talje Willoughby', 'Victor Köhler', 'Daniel Estehghari', 'Alfons Miari', 'Isak Barrow', 'Alfred Lindström', 'Augustine Kajue', 'Florand Kaufeldt', 'Theodor Öhrn', 'Jin Zou', 'David Alexanderson', 'Olof Källström', 'Julian Redaelli', 'Egil Ahlenius', 'Carl Jood', 'Chand Smith', 'Malick Afocozi', 'Ludvig Fast', 'Victor Norlander', 'Anton Isaksson', 'Brian Kamara', 'Eric Svirins', 'Hugo Palm', 'Simon Bredenberg', 'Noa Del Castillo Hallberg', 'Ann-Sofi Back', 'Robert Rydberg', 'Robert Nordberg', 'Charlotte Brattin', 'Mira Uszkureit', 'Alex Schulman', 'Amanda Schulman', 'Emma Warg', 'Camilla Läckberg', 'Christina Saliba', 'Karin Myrenberg', 'Linnea Olsson', 'Asta Stensson', 'Elsa Sjökvist', 'Johanna Ovelius', 'Shaniaz Hama Ali', 'Catrin Nilsson', 'Jacob Papinniemi', 'Mimmi Brundin', 'Melodie Von Sass', 'Ellen Dixdotter', 'Sofia Lücke', 'Ronja Kruus', 'Chris Westerstrom', 'Hedda Rehnberg', 'Robert Martufi', 'Hanna Oldenburg', 'Arnella Zetterström', 'Sepideh Mazloom', 'Eric Dernsjö', 'Nikolas Drosopoulos', 'Chrysanthi Theodosi', 'Maria Alexiou', 'Marilena Lampropoulou', 'Christos Ntoulas', 'Nikolas Chalkiadakis', 'Grace Milaszewski', 'Melina Marksaitis', 'Theresa Johannesson', 'Leocilyn Capanas', 'Nanette Lipponen', 'Maria Danica Herrera', 'Maria Grace Concepcion', 'Kristin Delfinado', 'Shanilou Del Mundo', 'John Michael Yadao', 'Freedom Ziad Ahmed', 'Robert Jomar', 'Garry Villador Deveratturda', 'Christopher Janiola', 'Mario Rowen Bugtai', 'Mohamed Lachras', 'Taye Nathanail', 'Athanasios Papaioannou', 'Alexandros Sargologos', 'Allen Bandiola', 'Nicolas Refin', 'Lontoc Rolyn', 'John Paul Paugio', 'John Paulo', 'Anne Brocklin Bergman', 'Johnny Bergman', 'Fredrik Wikingsson', 'Henrik Thott', 'Thomas Peteus', 'Magnus Jeansson', 'Stefan Martikainen', 'Britt-Marie Svensson', 'Arash Raoufi', 'Nafiseh Hadizadeh', 'Inga Hahn', 'Lennart Hahn', 'Linda Anborg', 'Karina Baldock Wiking', 'Olof Myhrman', 'Rebecca Fager', 'Hilde Fager', 'Emmylou Saguindel-Holmé', 'Ann-Marie Eriksson', 'Pål Svensson', 'Giorgos Kyriakopoulos', 'Pavlos Laoutaris', 'Eva Koroli', 'Alexia Mpogdanou', 'Giannis Papathymios', 'Achilles Vatrikas', 'Gianna Andritsaki', 'Dauda Coneth', 'Beh Solo Kone', 'Yussif Zakaria', 'Papa Cheik Jade']",3.69,nan,"['Drama', 'Comedy']",147,"['Denmark', 'France', 'Germany', 'Greece', 'Mexico', 'Sweden', 'Switzerland', 'Turkey', 'UK', 'USA']",English,"['English', 'Akan', 'French', 'Greek (modern)', 'Swedish', 'Tagalog', 'German']","A celebrity model couple are invited on a luxury cruise for the uber-rich, helmed by an unhinged, alcoholic captain. What first appears Instagrammable ends catastrophically, leaving the survivors stranded on a desert island in a struggle of hierarchy.","['30WEST', 'BBC Film', 'Bord Cadre Films', 'Coproduction Office', 'Film i Väst', 'Heretic', 'Imperative Entertainment', 'Sovereign Films', 'Plattform Produktion', 'SVT', 'BFI', 'Piano', 'ARTE France Cinéma', 'ZDF/Arte', 'Essential Filmproduktion', 'TRT Sinema']",816762,148259,219989,3400,3449,7599,6783,25444,32463,96570,134853,208210,79023,62355,656749,https://letterboxd.com/film/triangle-of-sadness/
The Fabelmans,2022,Steven Spielberg,"['Gabriel LaBelle', 'Michelle Williams', 'Paul Dano', 'Seth Rogen', 'Judd Hirsch', 'David Lynch', 'Jeannie Berlin', 'Julia Butters', 'Keeley Karsten', 'Sam Rechner', 'Mateo Zoryan Francis-DeFord', 'Chloe East', 'Isabelle Kusman', 'Robin Bartlett', 'Oakes Fegley', 'Sophia Kopera', 'Birdie Borria', 'Alina Brace', 'Chandler Lovelle', 'Gustavo Escobar', 'Nicolas Cantu', 'Cooper Dodson', 'Gabriel Bateman', 'Stephen Matthew Smith', 'Lane Factor', 'James Urbaniak', 'Alex Quijano', 'Kalama Epstein', 'Connor Trinneer', 'Greg Grunberg', 'Jan Hoag', 'Carlos Javier Castillo', 'Ezra Buzzington', 'Paul Chepikian', 'Brinly Marum', 'Mason Bumba', 'Mary M. Flynn', 'Adriel Porter', 'Tia Nalls', 'Larkin Campbell', 'Harper Dustin', 'Crystal the Monkey', 'Art Bonilla', 'Meredith VanCuyk', 'Vera Myers', 'Cody Mitchell', 'Caroline Anna-Kaye Green', 'Rob Shiells', 'Julyah Rose', 'Jonathan Moorwood', 'Ari Davis', 'Jared Becker', 'Kendal Evans', 'Trang Vo', 'Alejandro Fuenzalida', 'Orion Hunter', 'Samantha Rose Gomez', 'Taylor Stone', 'Sarah Hamilton', 'Paige Locke', 'Marissa McBride', 'Malachi Mickelonis', 'Max David Weinberg', 'Cameron Hennings', 'Nicole Alicia Xavier']",4.01,nan,['Drama'],151,['USA'],English,"['English', 'Portuguese']","Growing up in post-World War II era Arizona, young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence, but soon discovers a shattering family secret and explores how the power of films can help him see the truth.","['Amblin Entertainment', 'Reliance Entertainment']",576881,184938,202609,3600,840,2067,2054,9031,12899,47307,73729,153610,90980,79647,472164,https://letterboxd.com/film/the-fabelmans/
The Northman,2022,Robert Eggers,"['Alexander Skarsgård', 'Nicole Kidman', 'Claes Bang', 'Ethan Hawke', 'Anya Taylor-Joy', 'Gustav Lindh', 'Elliott Rose', 'Willem Dafoe', 'Phill Martin', 'Eldar Skar', 'Olwen Fouéré', 'Edgar Abram', 'Jack Gassmann', 'Ingvar E. Sigurðsson', 'Oscar Novak', 'Jack Walsh', 'Björk', 'Ian Whyte', 'Katie Pattinson', 'Andrea O’Neill', 'Rebecca Ineson', 'Kate Dickie', 'Ísadóra Bjarkardóttir Barney', 'Kevin Horsham', ""Seamus O'Hara"", 'Scott Sinclair', 'Tadhg Murphy', 'James Yates', 'Hafþór Júlíus Björnsson', 'Ian Gerard Whyte', 'Ralph Ineson', 'Murray McArthur', 'Nille Glæsel', 'Jonas Lorentzen', 'Magne Osnes', 'Ineta Sliuzaite', 'Finn Lafferty', 'Jon Campling', 'Helen Roche', 'Faoileann Cunningham', 'Gareth Parker', 'Mark Fitzgerald', 'Gavin Peden', 'Joel Hicks', 'Chris Finlayson', 'Eric Higgins', 'Matt Symonds', 'Luca Evans', 'James Harper-Jones', 'Thomas Harper-Jones', 'Sheila Flitton', 'Lily Bird', 'Sunil Beniwal', 'Michael McGeown', 'Peter Vamos']",3.79,nan,"['Fantasy', 'Adventure', 'Action']",137,['USA'],English,"['English', 'Icelandic']","Prince Amleth is on the verge of becoming a man when his father is brutally murdered by his uncle, who kidnaps the boy's mother. Two decades later, Amleth is now a Viking who's on a mission to save his mother, kill his uncle and avenge his father.","['New Regency Pictures', 'Square Peg', 'Regency Enterprises']",808091,165373,249140,2800,2637,6555,5157,22146,26498,86059,120062,216892,95150,67731,648887,https://letterboxd.com/film/the-northman/
La Chimera,2023,Alice Rohrwacher,"[""Josh O'Connor"", 'Carol Duarte', 'Alba Rohrwacher', 'Isabella Rossellini', 'Vincenzo Nemolato', 'Lou Roy-Lecollinet', 'Giuliano Mantovani', 'Gian Piero Capretto', 'Melchiorre Pala', 'Ramona Fiorini', 'Luca Gargiullo', 'Yle Vianello', 'Barbara Chiesa', 'Elisabetta Perotto', 'Chiara Pazzaglia', 'Francesca Carrain', 'Luciano Vergaro', 'Carlo Tarmati', 'Valentino Santagati', 'Piero Crucitti', 'Milutin Dapčević', 'Luca Chikovani', 'Julia Vella', 'Agnese Graziani', 'Alessandro Genovesi', 'Cristiano Piazzati', 'Sofia Stangherlin', 'Marianna Pantani', 'Maria Alexandra Lungu', 'Paolo Bizzarri', 'Claudio Fabbri', 'Monaldo Gazzella', 'Sofija Zobina', 'Silvia Lucarini', 'Pancrazio Capretto', 'Elisabetta Anella', 'Maddalena Baiocco', 'Leila Nuniz', 'Giulia Caccavello', 'Franco Barzi', 'Fabrizio Pierini', 'Andrea Pettirossi', 'Maria Pia Clementi', 'Anna DeLuca', 'Adriano Tardiolo']",4.07,nan,"['Drama', 'Comedy', 'Fantasy']",131,"['France', 'Italy', 'Switzerland']",Italian,"['Italian', 'English', 'French', 'Portuguese']","Just out of jail, crumpled English archaeologist Arthur reconnects with his wayward crew of tombaroli accomplices – a happy-go-lucky collective of itinerant grave-robbers who survive by looting Etruscan tombs and fencing the ancient treasures they dig up.","['Tempesta', 'RAI Cinema', 'Ad Vitam Production', 'Amka Films', 'ARTE France Cinéma', 'RSI']",177020,49583,72458,5400,119,411,430,2038,3260,11990,21009,48586,27449,28189,143481,https://letterboxd.com/film/la-chimera/
Phantom Thread,2017,Paul Thomas Anderson,"['Daniel Day-Lewis', 'Vicky Krieps', 'Lesley Manville', 'Camilla Rutherford', 'Gina McKee', 'Brian Gleeson', 'Harriet Sansom Harris', 'Lujza Richter', 'Julia Davis', 'Julie Vollono', 'Sue Clark', 'Joan Brown', 'Harriet Leitch', 'Dinah Nicholson', 'Julie Duck', 'Maryanne Frost', 'Elli Banks', 'Amy Cunningham', 'Amber Brabant', 'Geneva Corlett', 'Juliet Glaves', 'Philip Franks', 'Tony Hansford', 'Steven F. Thompson', 'George Glasgow', 'Niki Angus-Campbell', 'Georgia Kemball', 'Nick Ashley', 'Ingrid Sophie Schram', 'Ellie Blackwell', 'Zarene Dallas', 'Pauline Moriarty', 'Eric Sigmundsson', 'Phyllis MacMahon', 'Richard Graham', 'Silas Carson', 'Martin Dew', 'James Thomson', 'Tim Ahern', 'Leopoldine Hugo', 'Delia Remy', 'Alice Grenier', 'Emma Clandon', 'Ian Harrod', 'Sarah Lamesch', 'Nicholas Mander', 'Jordon Stevens', 'Michael Stevenson', 'Jane Perry', 'Charlotte Melen', 'Dave Simon', 'David Charles-Cully', 'Louis Hannan', 'Evie Wray', 'Jonathan Wayre', 'Cécile van Dijk', 'Jack Tyson', 'Joshua Tomkins']",4.14,nan,"['Drama', 'Romance']",130,"['USA', 'China']",English,['English'],"In 1950s London, renowned British dressmaker Reynolds Woodcock comes across Alma, a young, strong-willed woman, who soon becomes ever present in his life as his muse and lover.","['Focus Features', 'Annapurna Pictures', 'Perfect World Pictures', 'JoAnne Sellar Productions', 'Ghoulardi Film Company']",572977,175362,193598,14000,1080,2728,1842,9095,9336,36533,50555,122956,83659,98953,416737,https://letterboxd.com/film/phantom-thread/
Priscilla,2023,Sofia Coppola,"['Cailee Spaeny', 'Jacob Elordi', 'Ari Cohen', 'Dagmara Dominczyk', 'Tim Post', 'Lynne Griffin', 'Dan Beirne', 'Rodrigo Fernandez-Stoll', 'Dan Abramovici', 'Matthew Shaw', 'Tim Dowler-Coltman', 'R Austin Ball', 'Olivia Barrett', 'Stephanie Moore', 'Luke Humphrey', 'Deanna Jarvis', 'Jorja Cadence', 'Josette Halpert', 'Evan Annisette', 'Stephanie Moran', 'Daniel Lipka', 'Raine Monroe Boland', 'Emily Mitchell', 'Kamilla Kowal', 'Gwynne Phillips', 'Conni Miu', 'Megan Dallan', 'Tonia Venneri', 'Erin Mackinnon', 'Mary Kelly', 'Paige LeBlanc', 'Anna Mirodin', 'Sarah Dodd', 'Alanis Peart', 'Kelaiah Guiel', 'Andrew Mackay', 'Kelly Irene Whyte', 'Shawn Gordon Fraser', 'Kassandra C.A. Gray', 'E. Fegan DeCordova', 'Kelly Penner']",3.55,nan,"['Drama', 'Romance']",110,"['Italy', 'USA']",English,['English'],"The unseen side of a great American myth in Elvis and Priscilla Presley’s long courtship and turbulent marriage, from a German army base to his estate at Graceland.","['The Apartment Pictures', 'American Zoetrope']",873888,168269,280282,9900,1671,5113,5403,28413,39852,135855,153572,214812,61713,90953,737357,https://letterboxd.com/film/priscilla/
Suzume,2022,Makoto Shinkai,"['Nanoka Hara', 'Hokuto Matsumura', 'Eri Fukatsu', 'Shota Sometani', 'Sairi Ito', 'Kotone Hanase', 'Kana Hanazawa', 'Matsumoto Hakuō II', 'Ryunosuke Kamiki', 'Ann Yamane', 'Akari Miura', 'Yoji Ueda', 'Aimi', 'Yuu Ayase', 'Akihiro Tajima', 'Ryoko Nagata', 'Shinnosuke Imazu', 'Kyo Yaoya', 'Hinano Harumi', 'Nanae Sumitomo', 'Saori Seto', 'Yuri Kimura', 'Tamae Watanabe', 'Tomomichi Nishimura', 'Yoshino Aoyama', 'Kaho Uesugi', 'Kaito Ogawa', 'Madoka Kayama', 'Shinjirou Gouda', 'Riku Sasakura', 'Yuki Sorami', 'Ayumi Tsuji', 'Genta Nakamura', 'Manatsu Hada', 'Katsumi Fukuhara', 'Arisa Maesako', 'Riko Murozono', 'Takuya Yokota']",3.83,nan,"['Animation', 'Fantasy', 'Adventure', 'Drama']",121,['Japan'],Japanese,"['Japanese', 'English']","Suzume, 17, lost her mother as a little girl. On her way to school, she meets a mysterious young man. But her curiosity unleashes a calamity that endangers the entire population of Japan, and so Suzume embarks on a journey to set things right.","['CoMix Wave Films', 'Story', 'Lawson Entertainment', 'jeki', 'voque ting', 'KADOKAWA', 'Aniplex', 'TOHO']",292850,58153,97258,1900,445,967,1185,5122,8767,32063,49059,77752,30272,35321,240953,https://letterboxd.com/film/suzume/
The Breadwinner,2017,Nora Twomey,"['Saara Chaudry', 'Soma Bhatia', 'Noorin Gulamgaus', 'Laara Sadiq', 'Ali Badshah', 'Shaista Latif', 'Kanza Feris', 'Kawa Ada', 'Kane Mahon', 'Ali Kazmi', 'Mran Volkhard', 'Ezra Sholeh', 'Lily Erlinghauser', 'Wamiq Furoghudin', 'Millad Hamidkohzad', 'Salaman Hamidkohzad', 'Abu Hashim Dostyar', 'Sapeda Hashim Dostyar', 'Ali Hassan', 'Finn Jackson Parle', 'Enayat Mazaryar', 'Patrick McGrath']",4.05,nan,"['Family', 'Drama', 'Animation', 'War']",94,"['Canada', 'Ireland', 'Luxembourg', 'USA']",English,"['English', 'Italian']","A headstrong young girl in Afghanistan, ruled by the Taliban, disguises herself as a boy in order to provide for her family.","['Aircraft Pictures', 'Cartoon Saloon', 'Melusine Productions', 'Jolie Pas']",92281,25880,26760,270,86,127,148,679,1100,5558,10518,23196,9172,10222,60806,https://letterboxd.com/film/the-breadwinner/
It's Such a Beautiful Day,2012,Don Hertzfeldt,"['Don Hertzfeldt', 'Sara Cushman']",4.38,nan,"['Comedy', 'Animation']",62,['USA'],English,['English'],Bill struggles to put together his shattered psyche.,['Bitter Films'],133046,56875,55979,6600,349,541,438,1423,1664,5370,7845,21209,17495,36547,92881,https://letterboxd.com/film/its-such-a-beautiful-day/
Anomalisa,2015,"Charlie Kaufman, Duke Johnson","['David Thewlis', 'Jennifer Jason Leigh', 'Tom Noonan']",3.86,nan,"['Romance', 'Animation', 'Drama', 'Comedy']",91,['USA'],English,['English'],An inspirational speaker becomes reinvigorated after meeting a lively woman who shakes up his mundane existence.,"['Starburns Industries', 'Snoot Entertainment', 'Paramount Pictures']",191932,54995,50400,812,725,1451,1172,4462,5559,17350,24611,41175,18951,15491,130947,https://letterboxd.com/film/anomalisa/
Dolemite Is My Name,2019,Craig Brewer,"['Eddie Murphy', 'Wesley Snipes', ""Da'Vine Joy Randolph"", 'Keegan-Michael Key', 'Mike Epps', 'Craig Robinson', 'Tituss Burgess', 'Kodi Smit-McPhee', 'Snoop Dogg', 'Ron Cephas Jones', 'Barry Shabaka Henley', 'T.I.', 'Luenell', 'Tasha Smith', 'Chris Rock', 'Aleksandar Filimonović', 'Ivo Nandi', 'Michael Peter Bolus', 'Kazy Tauginas', 'B.J. Bingham', 'Claude Phillips', 'Arthur Fuller', 'Jill Savel', 'Baker Chase Powell', 'Henry Monfries', 'John Michael Herndon', 'Jernard Burks', 'Monique StaTeena', 'Joshua Weinstein', 'Allen Rueckert', 'Gerald Downey', 'Bernadine Durham', 'Bobby Milhouse', 'Lamar Edwards', 'Carlos McSwain', 'Brandon Owens', 'Chucc Hamilton', 'James Ford III', 'Johnny Britt', 'Wendell Kelly', 'Amy Keys', 'Maiya Sykes', 'Nayanna Holley', 'Edward Rudell Johnson', 'John Fluker', 'Lamar Usher', 'Akono Dixon', 'Milan Carter', 'deMann', 'Kezii Curtis', 'Krystian Alexander Lyttle', 'Sade E. Moore', 'Chelsea Gilson', 'Cheryl Francis Harrington', 'Toni Duclottni', 'Garland Whitt', 'Saudia Rashed', 'Cole S. McKay', 'Dale Gibson', 'Phil Abrams', 'Quartay Denaya', 'Bobby Rush', 'James Cornelison', 'Lyndon Rochelle', 'Edwin Livingston', 'Damon Wilson', 'Jimmie Kirkpatrick', 'Gina Lohman', 'Nikol Davis', 'Bubba Ganter', 'Alfonso Christian Lover', 'Dorothy Schock', 'Demetrius Hodges', 'Eric Reed', 'Brandon Stewart', 'Budda Foster', 'Robert Amerson', 'Yena Kim', 'Taylor Ellington', 'Megan McEwen', 'Matthew Jablonsky', 'Justin Campbell', 'Sidney Hopson', 'Catrina Gaston', 'Erik Kilpatrick', 'Myles Williamson', 'Rob Smith', 'David B. Lyons', 'Tommie Earl Jenkins', 'Leonel Claude', 'Aaron Craven', 'Li Eubanks', 'Denise Milfort', 'Jamaal Lewis', 'Bob Odenkirk', 'A.J. Tannen']",3.65,nan,"['Drama', 'History', 'Comedy']",118,['USA'],English,['English'],"The story of Rudy Ray Moore, who created the iconic big screen pimp character Dolemite in the 1970s.",['Davis Entertainment'],151050,30231,37386,53,187,542,498,2609,4497,20197,31035,36820,7161,4557,108103,https://letterboxd.com/film/dolemite-is-my-name/
Son of Saul,2015,László Nemes,"['Géza Röhrig', 'Levente Molnár', 'Urs Rechn', 'Todd Charmont', 'Jerzy Walczak', 'Balázs Farkas', 'Gergö Farkas', 'Sándor Zsótér', 'Marcin Czarnik', 'Levente Orbán', 'Kamil Dobrowolski', 'Uwe Lauer', 'Christian Harting', 'Attila Fritz', 'Mihály Kormos', 'Márton Ágh', 'Amitai Kedar', 'István Pion', 'Juli Jakab', 'Polgár Tamás', 'Rozi Székely', 'Ernő Fekete', 'László Somorjai', 'Eszter Csépai', 'Zoltán Cservák', 'Péter Fancsikai', 'Csaba Formanek', 'Björn Freiberg', 'Tamás Herczeg', 'András Jeles', 'Bálint Kenyeres', 'Anett Kormos', 'Kálmán Kovács', 'Péter Kőszegi', 'Csaba Krisztik', 'Ákos Orosz', 'Tom Pilath', 'László Quitt', 'Péter Takátsy', 'Balázs Szitás', 'Norbert Varga', 'János Vozár', 'Krisztián Vranik', 'Sandor Altmann', 'János Tibor Boldizsár', 'Mendy Cahan', 'Dávid Fodor', 'Kollátosz Fotisz', 'Judit Gál', 'János György', 'Éva Kelényi', 'Tamás Kiss', 'László Laskay', 'Gábor Molnár', 'Gábor Molnár Opti', 'Patrik Nádas', 'Zoltán Perovics', 'Gábor Póczik', 'Béla Sebestyén', 'Péter Selyebi', 'Tamás Steinberger', 'Kristóf Törőcsik', 'Mitropulosz Vaszilisz', 'Sándor Viglász', 'Marcell Wrochna', 'Felix Bender', 'Dániel Fuhl', 'Marcus Hammerstein', 'Christoph Hanz', 'Melissa Hermann', 'Matthias Kräusslein', 'Karsten Schleifring', 'Gaetan Stawinoga', 'George Vince', 'Aleksey Zelensky']",4.09,nan,"['Drama', 'Thriller', 'War']",107,"['France', 'Hungary']",Hungarian,"['Hungarian', 'German', 'Greek (modern)', 'Hebrew (modern)', 'Polish', 'Russian', 'Slovak', 'Yiddish']","In the horror of 1944 Auschwitz, a prisoner forced to burn the corpses of his own people finds moral survival trying to save from the flames the body of a boy he takes for his son, seeking to give him a proper jewish burial.","['Hungarian National Film Fund', 'Laokoon Filmgroup', 'Playtime', 'Mozinet']",71679,31138,15880,220,163,338,279,1139,1529,4877,7544,16065,9998,7740,49672,https://letterboxd.com/film/son-of-saul/
Showing Up,2022,Kelly Reichardt,"['Michelle Williams', 'Hong Chau', 'Maryann Plunkett', 'John Magaro', 'André 3000', 'Amanda Plummer', 'Matt Malloy', 'Heather Lawless', 'James Le Gros', 'Denzel Rodriguez', 'Eudora Peterson', 'Judd Hirsch', 'Todd-o-Phonic Todd', 'Lauren Lakis', 'Jean-Luc Boucherot', 'Ted Rooney', 'Ben Coonley', 'Chase Hawkins', 'Izabel Mar', 'William Rihel III', 'Bahni Turpin', 'Dustin Clark', 'Holly Osborne', 'Ethan Benarroch', 'Hanna Caldwell', 'Kevin-Michael Moore', 'Theo Taplitz', 'Mia Bonilla', 'Sam Kamerman', 'Libby Werbel', 'Nova Kopp', 'Margaret Rodini', 'Orianna Milne', 'Mike D Harris', 'Cody Burns', 'Kristina Haddad', 'Victoria E. Henry', 'Kennedy Morris', 'Dvonte Robinson', 'Teal Sherer', 'Rowan Vik']",3.53,nan,"['Comedy', 'Drama']",108,['USA'],English,['English'],"In the days leading up to a possibly career-changing exhibition, a sculptor navigates her relationships with family, friends, and colleagues.","['filmscience', 'A24']",60151,29674,17205,206,238,645,590,2274,3054,8580,10577,12893,4259,2293,45403,https://letterboxd.com/film/showing-up-2022/
Godland,2022,Hlynur Pálmason,"['Elliott Crosset Hove', 'Vic Carmen Sonne', 'Ingvar E. Sigurðsson', 'Jacob Ulrik Lohmann', 'Ída Mekkín Hlynsdóttir', 'Waage Sandø', 'Hilmar Guðjónsson', 'Friðrik Friðriksson', 'Gunnar Bragi Þorsteinsson', 'Guðmundur Samúelsson', 'Snæbjörg Guðmundsdóttir', 'Birta Maria Gunnarsdottir', 'Ingimundur Grétarsson', 'Friðrik Hrafn Reynisson', 'Ísar Svan Gautason']",3.84,nan,['Drama'],143,"['Denmark', 'France', 'Iceland', 'Sweden']",Danish,"['Danish', 'Icelandic']","In the late 19th century, a young Danish priest travels to a remote part of Iceland to build a church and photograph its people. But the deeper he goes into the unforgiving landscape, the more he strays from his purpose, the mission and morality.","['Maneki Films', 'Snowglobe', 'Join Motion Pictures', 'Film i Väst', 'Garagefilm International']",39100,16968,11500,288,60,165,184,775,1328,4106,6485,10140,4150,2837,30230,https://letterboxd.com/film/godland/
May December,2023,Todd Haynes,"['Natalie Portman', 'Julianne Moore', 'Charles Melton', 'Cory Michael Smith', 'Elizabeth Yu', 'Gabriel Chung', 'Piper Curda', 'D.W. Moffett', 'Chris Tenzis', 'Andrea Frankle', 'Mikenzie Taylor', 'Jocelyn Shelfo', 'Mike Lopez', 'Joan Reilly', 'Charles Green', 'Christopher Nguyen', 'Adam Woods', 'Lawrence Arancio', 'Kelvin Han Yee', 'Julie Ivey', 'Drew Scheid', 'Fatou Jackson', 'Hans Obma', 'Allie McCulloch', 'Evan Zhu', 'Hailey Wist', 'James R Williams', 'Rocky Davis', 'Hope Regina McElveen', 'Derrick Butler', 'Zachary Branch']",3.68,nan,['Drama'],117,['USA'],English,['English'],"Twenty years after their notorious tabloid romance gripped the nation, a married couple buckles under the pressure when an actress arrives to do research for a film about their past.","['Gloria Sanchez Productions', 'Killer Films', 'MountainA', 'Taylor & Dodge', 'Project Infinity']",635216,141681,154803,594,1615,4544,3832,19631,23925,81982,103985,179552,70937,37027,527030,https://letterboxd.com/film/may-december/
Dream Scenario,2023,Kristoffer Borgli,"['Nicolas Cage', 'Julianne Nicholson', 'Lily Bird', 'Jessica Clement', 'Michael Cera', 'Dylan Gelula', 'Tim Meadows', 'Kate Berlant', 'Dylan Baker', 'Jennifer Wigmore', 'Nicholas Braun', 'David Klein', 'Maev Beaty', 'Al Warren', 'Ben Caldwell', 'Agape Mngomezulu', 'Lily Gao', 'Marnie McPhail', 'Star Slade', 'Noah Lamanna', 'Richard Jutras', 'Kaleb Horn', 'Philip van Martin', 'Cara Volchoff', 'Liz Adjei', 'Jessie-Ann Kohlman', 'Greer Cohen', 'Krista Bridges', 'Noah Centineo', 'Josh Richards', 'Ramona Gilmour-Darling', 'Sofia Banzhaf', 'Marc Coppola', 'Amber Midthunder', 'Alton Mason', 'Thomas Mitchell', 'Conrad Coates', 'Marnie Brunton', 'Jim Armstrong', 'Leah Stanley', 'Stephen R. Hart', 'Will Corno', 'Talia Schlanger', 'James Collins', 'Caleb Weatherbee', 'Nneka Elliott', 'Jeremy Levick', 'Nicole Leroux', 'Jordan Raf', 'Trish Hoang', 'Domenic Di Rosa', 'Jesse Goldman']",3.44,nan,"['Comedy', 'Fantasy']",102,['USA'],English,"['English', 'French']","Hapless family man Paul Matthews finds his life turned upside down when millions of strangers suddenly start seeing him in their dreams. But when his nighttime appearances take a nightmarish turn, Paul is forced to navigate his newfound stardom.","['A24', 'Square Peg', 'Saturn Films']",429050,93828,105662,266,1067,2951,3491,15597,25746,82261,104677,95421,19057,11466,361734,https://letterboxd.com/film/dream-scenario/
Saltburn,2023,Emerald Fennell,"['Barry Keoghan', 'Jacob Elordi', 'Rosamund Pike', 'Richard E. Grant', 'Alison Oliver', 'Archie Madekwe', 'Carey Mulligan', 'Paul Rhys', 'Ewan Mitchell', 'Sadie Soverall', 'Richard Cotterell', 'Millie Kent', 'Will Gibson', 'Tasha Lim', 'Aleah Aberdeen', 'Matthew Carver', 'Reece Shearsmith', 'Gabriel Bisset-Smith', 'Saga Spjuth-Säll', 'Glyn Grimstead', 'Joshua Samuels', 'Julian Lloyd Patten', 'Olivia Hanrahan-Barnes', 'Lolly Adefope', 'Joshua McGuire', 'Dorothy Atkinson', 'Shaun Dooley', 'Tomás Barry', 'Andy Brady']",3.41,nan,"['Comedy', 'Drama', 'Thriller']",131,"['UK', 'USA']",English,['English'],"Struggling to find his place at Oxford University, student Oliver Quick finds himself drawn into the world of the charming and aristocratic Felix Catton, who invites him to Saltburn, his eccentric family's sprawling estate, for a summer never to be forgotten.","['LuckyChap Entertainment', 'MRC', 'Lie Still']",2435114,240932,701241,12000,16974,38399,31034,125951,134166,395015,359830,533154,160422,238084,2033029,https://letterboxd.com/film/saltburn/
