Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Description,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL
Guardians of the Formula,2023,Dragan Bjelogrlić,"['Alexis Manenti', 'Dragan Bjelogrlić', 'Miki Manojlović', 'Radivoje Bukvić', 'Lionel Abelanski', 'Jérémie Laheurte', 'Olivier Barthélémy', 'Jurij Drevenšek', ""Jean-Louis Coulloc'h"", 'Alisa Radaković', 'Arnaud Humbert', 'Anne Serra', 'Ana Blagojević', 'Jovan Jovanović', 'Jérôme Henry', 'Cédric Appietto', 'Ognjen Mićović', 'Maja Čampar', 'Stanislava Jeftić', 'Joana Knežević', 'Laurent Rouy', 'Sara Novak', 'Jean-Baptist Demarigny', 'Predrag Lukić', 'Nikola Kmirnac', 'Pierre François']",3.77,nan,"['Thriller', 'History', 'Drama']",120,"['North Macedonia', 'Montenegro', 'Serbia', 'Slovenia']",Serbian,"['Serbian', 'French']","In 1958, during the Cold War, two scientists, two worlds, and two ideologies faced a race for survival at the Vinca Scientific Institute near Belgrade.","['Cobra Film Department', 'Art & Popcorn', 'Eter Consulting', 'Bitter Frames Productions', 'Skopje Film Studio', 'Perfo Production', 'Ton Film', 'United Media']",3399,583,874,9,1,17,11,59,97,302,446,734,403,550,2620,https://letterboxd.com/film/guardians-of-the-formula/
Loves of a Blonde,1965,Miloš Forman,"['Hana Brejchová', 'Vladimír Pucholt', 'Vladimír Menšík', 'Ivan Kheil', 'Jiří Hrubý', 'Milada Ježková', 'Josef Šebánek', 'Josef Kolb', 'Marie Salačová', 'Jana Nováková', 'Jarka Crkalová', 'Táňa Zelinková', 'Zdena Lorencová', 'Jan Vostrčil', 'Antonín Blažejovský', 'M. Zedníčková', 'Slavoj Banzet', 'Ota Heinitz', 'Otto Sattler', 'Antonín Keyř', 'Jindřich Heidelberg', 'Dana Valtová', 'V. Víšková', 'Arnošt Vrána']",3.8,nan,"['Comedy', 'Drama', 'Romance']",81,['Czechoslovakia'],Czech,['Czech'],"Andula, an innocent Czech girl from a factory town, is desperately in search of love. She believes she's found it when she beds Milda, a charming young musician visiting from Prague. Milda, however, is only looking for a casual encounter, and leaves town assuming he'll never see Andula again. But when Andula doesn't hear from him, she packs up and heads to Prague, to the surprise of Milda and his parents.",['Filmové studio Barrandov'],20958,14990,5562,107,23,54,70,299,551,2144,3399,4737,1542,1126,13945,https://letterboxd.com/film/loves-of-a-blonde/
Man on the Moon,1999,Miloš Forman,"['Jim Carrey', 'Danny DeVito', 'Courtney Love', 'Paul Giamatti', 'Vincent Schiavelli', 'Peter Bonerz', 'Jerry Lawler', 'Gerry Becker', 'Leslie Lyles', 'Greyson Erik Pendry', 'Brittany Colonna', 'Bobby Boriello', 'George Shapiro', 'Budd Friedman', 'Tom Dreesen', 'Thomas Armbruster', 'Pamela Abdy', 'Wendy Polland', 'Cash Oshman', 'Matt Price', 'Christina Cabot', 'Richard Belzer', 'Melanie Vesey', 'Michael Kelly', 'Miles Chapin', 'Isadore Rosenfeld', 'Molly Schaffer', 'Howard West', 'Greg Travis', 'Maureen Mueller', 'Philip Perlman', 'Jessica Devlin', 'Jeff Thomas', 'Randall Carver', 'Howard Keystone', 'Howdy Doody', 'Brent Briscoe', 'Ray Bokhour', 'Patton Oswalt', 'Caroline Gibson', 'Conrad Roberts', 'Jeff Zabel', 'Marilyn Sokol', 'Angela Jones', 'Krystina Carson', 'Gerry Robert Byrne', 'Mark Davenport', 'Bert F. Balsam', 'Lonnie Hamilton', 'Ron Sanchez', 'Billy D. Lucas', 'Patricia Scanlon', 'Max Alexander', 'Ed Mitchell', 'Reiko Aylesworth', 'Michael Villani', 'Maria Elena Maglaris', 'Heath Hyche', 'Robert Holeman', 'Jim Ross', 'Tamara Bossett', 'Gene LeBell', 'Bob Zmuda', 'Brian Peck', 'Caroline Rhea', 'Mary Lynn Rajskub', 'Philip Lenkowsky', 'Rob Steiner', 'Claudia Jaffee', 'Armando Guerrero', 'Lance Russell', 'Stephen Sayadian', 'K.P. Palmer', 'Mark Majetti', ""Deana Molle'"", 'Mews Small', 'David Elliott', 'Fredd Wayne', 'Tracey Walter', 'David Koechner', 'Jeanine Jackson', 'Johnny Legend', 'Doris Eaton', 'Gregg Sutton', 'Sydney Lassick', 'Yoshi Jenkins', 'Lance Alarcon', 'D.J. Johnson', 'Melissa Carrey', 'Doug Ford', 'Bill Reid', 'Chuck Zito', 'Danielle Burgio', 'Linda Cevallos', 'Betsy Chang', 'Jennifer Chavarria', 'Shirry Dolgin', 'Lisa Eaton', 'Melanie A. Gage', 'Catherine Hader', 'Betsy Harris', 'Kelly Jones Gabriele', 'Tricia Lilly', 'Karen Martin', 'Tabbatha Mays', 'Katie Miller', 'Jessica Moore', 'Tara Nicole Hughes', 'Mia Pitts', 'Kelleia Sheerin', 'Alison Simpson', 'Melinda Songer Soderling', 'Michon Suyama', 'Michelle E. Swanson', 'Natalie Webb', 'Jacqueline Case', 'Karen Blake Challman', 'Teresa Chapman', 'Kelly Cooper', 'Penny Fisher', 'Eva Jeníčková', 'Lindsay Lopez', 'Natalie Mills', 'April Nixon', 'Tiffany Olson', 'Kathryn Rossberg', 'Karissa Seaman', 'Lea Sullivan', 'Amy Tinkham', 'Kristin Richardson', 'Thomas Barney', 'Lewis Del Gatto', 'Alex Foster', 'Earl Gardner', 'Lukasz Gottwald', 'Cheryl Hardwick', 'Valerie Naranjo', 'Shawn Pelton', 'Leon Pendarvis', 'Lenny Pickett', 'Steve Turre', 'Frank DeVito', 'Tony Galla', 'Frank Marocco', 'Pat Senatore', 'Anton Fig', 'Will Lee', 'Sid McGinnis', 'Bob Emmet', 'Michael Lufkin', 'James McCarty', 'David Thomasson', 'Thomas Verdonck', 'Hal Blaine', 'Charlie Brissette', 'Evan Diner', 'Tim Divers', 'Phillip Feather', 'Alex Iles', 'James Lum', 'Norman Henry Mamey', 'John Mitchell', ""Robert O'Donnell"", 'Greg Prechel', 'James Sawyer', 'Steven D. Williams', 'John Yoakum', 'Jordan Jay Adams', 'Job Alonso', 'David Aronson', 'Scott Baldyga', 'Judy Ben-Asher', 'Greg Beville', 'Jani Blom', 'Robert M. Bouffard', 'Greg Bronson', 'Edita Brychta', 'Josh Caldwell', 'Christine Cameron', 'Tim Carr', 'Stacy Carter', 'Angela Theresa Collins', 'Jeff Conaway', ""Stephanie D'Abruzzo"", 'Brian Durkin', 'Kenneth David Ebling', 'Shari Emami', 'Christina Engelhardt', 'Roger Ferreira', 'Leon David Franco', 'Shannon Frank', 'Carmi Greene', 'Brian Habicht', 'Lisa Haley', 'Rich Hall', 'Marilu Henner', 'Jeff Hill', 'Judd Hirsch', 'Jeffrey M. Hoffman', 'Chris Humphrey', 'James Hunter', 'Davey Rockit Hynes', 'Carol Kane', 'Angella Kaye', 'Howard Kremer', 'David Letterman', 'Christopher Lloyd', 'Norm Macdonald', 'Tiger Mendez', 'Lorne Michaels', 'Catherine Mary Moroney', 'Bill Normyle', 'Johan-Carl Nowack', ""Kate O'Neill"", 'Rook Overman', 'Christopher Pelant', 'Bob Pepper', 'Christie Pesicka', 'Lance Polland', 'J.A. Popovec', 'Aaron Rosenberg', 'Cheryl Rusa', 'Paul Shaffer', 'Paul Sinacore', 'Jackie Smason', 'Brian Smyj', 'Claude Stuart', 'J. Alan Thomas', 'Tony Verley', 'Jodi White', 'Nicholas Wilder', 'Allen Woodman', 'Yaping', 'Howard Yearwood', 'Rachel Zients']",3.8,nan,"['Comedy', 'Drama']",118,"['Germany', 'Japan', 'UK', 'USA']",English,['English'],"The story of the life and career of eccentric avant-garde comedian, Andy Kaufman.","['Mutual Film Company', 'Universal Pictures', 'Jersey Films', 'Cinehaus', 'West/Shapiro Productions', 'Marubeni', 'TOHO-TOWA', 'Tele München']",151426,22838,32897,499,185,502,479,2456,3612,14423,20053,29618,9017,7662,88007,https://letterboxd.com/film/man-on-the-moon/
The Master,2012,Paul Thomas Anderson,"['Joaquin Phoenix', 'Philip Seymour Hoffman', 'Amy Adams', 'Rami Malek', 'Laura Dern', 'Jesse Plemons', 'Ambyr Childers', 'Madisen Beaty', ""Kevin J. O'Connor"", 'Patty McCormack', 'Lena Endre', 'Barbara Brownell', 'Amy Ferguson', 'Jennifer Neala Page', 'Christopher Evan Welch', 'Mike Howard', 'Frank Bettag', 'Mimi Cozzens', 'Jillian Bell', 'Joshua Close', 'Martin Dew', 'Kevin J. Walsh', 'Brady Rubin', 'Jill Andre', 'Barlow Jacobs', 'David Warshofsky', 'Tom Knickerbocker', 'Zan Overall', 'Katie Boland', 'Lorelai Hoey', 'Price Carson', 'Sarah Shoshana David', 'Bruce Goodchild', 'Matt Hering', 'Dan Anderson', 'Andrew Koponen', 'Jeffrey W. Jenkins', 'Patrick Wilder', 'Ryan Curtis', 'Jay Laurence', 'Abraxas Adams', 'Tina Bruna', 'Kevin Hudnell', 'Hunter Craig', 'Ryder Craig', 'Rodion Salnikov', 'Emily Gilliam', 'Kody Klein', 'W. Earl Brown', 'Ariel Felix', 'Vladimir Velasco', 'John Mark Reyes', 'Brian Fong', 'Diane Cortejo', 'Leonida A. Bautista', 'Myrna De Dios', ""William O'Brien"", 'Brigitte Hagerman', 'Charley Morgan', 'Gigi Benson', 'Liz Clare', 'Fiona Dourif', 'Audrey Finer', 'Megan Rose Fox', 'Baily Hopkins', 'Mari Kearney', 'Sarah Klaren', 'Ally Johnson', 'Brittany Kilcoyne McGregor', 'LaRain Ring', 'Kimberly Ables Jindra', 'Theo Crisell', 'Eban Schletter', 'Scott Rodgers', 'Melora Walters', 'Emily Jordan', 'Amanda Caryn Jobbins', 'Olivia Rosemarie Barham', 'Napoleon Ryan', 'AnnaCorey', 'Bill Blair']",4.01,nan,['Drama'],137,['USA'],English,['English'],"Freddie, a volatile, heavy-drinking veteran who suffers from post-traumatic stress disorder, finds some semblance of a family when he stumbles onto the ship of Lancaster Dodd, the charismatic leader of a new ""religion"" he forms after World War II.","['Annapurna Pictures', 'Ghoulardi Film Company', 'JoAnne Sellar Productions']",460765,127373,133250,4700,769,2060,1763,8332,10123,35896,48922,99326,56763,57287,321241,https://letterboxd.com/film/the-master-2012/
Under the Silver Lake,2018,David Robert Mitchell,"['Andrew Garfield', 'Riley Keough', 'Topher Grace', 'Callie Hernandez', 'Don McManus', 'Jeremy Bobb', 'Riki Lindhome', 'Patrick Fischler', 'Zosia Mamet', 'Jimmi Simpson', 'Grace Van Patten', 'Bobbi Salvör Menuez', 'David Yow', 'Wendy Vanden Heuvel', 'Chris Gann', 'Jessica Makinson', 'Sibongile Mlambo', 'Rex Linn', 'Luke Baines', 'Allie MacDonald', 'Victoria Bruno', 'Lola Blanc', 'Brian Aubert', 'Christopher Guanlao', 'Joe Lester', 'Nikki Monninger', 'Sydney Sweeney', 'Guy Nardulli', 'Adam Bartley', 'June Carryl', 'Summer Bishil', 'Karen Nitsche', 'Laura-Leigh', 'Sky Elobar', 'Deborah Geffner', 'Jeannine Cota', 'Reese Hartwig', 'Izzie Coffey', 'Kayla DiVenere', 'Tucker Meek', 'Jackson Gann', 'Brode Gann', 'Jules Willcox', 'Rozie Bacchi', 'Annabelle Dexter-Jones', 'Christina Wildes', 'Nicole Disson', 'Millie Atchison', 'Cheyenne Haynes', 'Elizabeth Hinkler', 'Pepi Sonuga', 'Ivy Matheson', 'Gabrielle Maiden', 'Brittney Parker Rose', 'Oscar Best', 'Greg Wayne', 'John Eddins', 'Mary Cameron Rogers', 'Mario Diaz', 'Kat Purgal', 'Layla Rumi', 'Olivia Fox', 'Brian Gattas', 'Deven Green', 'Devin Kawaoka', 'David Harper', 'Shad Roberts', 'Jenn An', 'Darrel Cherney']",3.47,nan,"['Drama', 'Mystery', 'Crime']",139,['USA'],English,['English'],"Young and disenchanted Sam meets a mysterious and beautiful woman who's swimming in his building's pool one night. When she suddenly vanishes the next morning, Sam embarks on a surreal quest across Los Angeles to decode the secret behind her disappearance, leading him into the murkiest depths of mystery, scandal and conspiracy.","['Michael De Luca Productions', 'Good Fear', 'PASTEL', 'UnLTD Productions', 'Salem Street Entertainment', 'Boo Pictures']",269477,78405,73945,2700,1897,4405,4074,13922,16235,36415,41708,51679,19957,15641,205933,https://letterboxd.com/film/under-the-silver-lake/
Romancing the Stone,1984,Robert Zemeckis,"['Michael Douglas', 'Kathleen Turner', 'Danny DeVito', 'Zack Norman', 'Alfonso Arau', 'Manuel Ojeda', 'Holland Taylor', 'Mary Ellen Trainor', 'Eve Smith', 'Joe Nesnow', 'José Chávez', ""Evita Muñoz 'Chachita'"", 'Camillo García', 'Rodrigo Puebla', 'Paco Morayta', 'Jorge Zamora', 'Kymberly Herrin', 'William H. Burton Jr.', 'Ted White', 'Manuel E. Santiago', 'Ron Silver', 'Michael Cassidy', 'Vince Deadrick Sr.', 'Richard Drown', 'Joe Finnegan', 'Jimmy Medearis', 'Jeff Ramsey', 'Pablo Guisa Koestinger', 'Lorna Lable', 'Jos Laniado']",3.36,nan,"['Comedy', 'Romance', 'Adventure', 'Action']",106,"['Mexico', 'USA']",English,"['English', 'French', 'Spanish']","Though she can spin wild tales of passionate romance, novelist Joan Wilder has no life of her own. Then one day adventure comes her way in the form of a mysterious package. It turns out that the parcel is the ransom she'll need to free her abducted sister, so Joan flies to South America to hand it over. But she gets on the wrong bus and winds up hopelessly stranded in the jungle.","['SLM Production Group', 'Nina Saxon Film Design', 'El Corazon Producciones S.A.', '20th Century Fox']",101077,19856,17660,135,90,472,546,2800,4945,18063,15396,10943,1815,2338,57408,https://letterboxd.com/film/romancing-the-stone/
The Ninth Gate,1999,Roman Polanski,"['Johnny Depp', 'Frank Langella', 'Lena Olin', 'Emmanuelle Seigner', 'Barbara Jefford', 'Jack Taylor', 'José López Rodero', 'Tony Amoni', 'James Russo', 'Willy Holt', 'Allen Garfield', 'Jacques Dacqmine', 'Joe Sheridan', 'Rebecca Pauly', 'Catherine Benguigui', 'Maria Ducceschi', 'Jacques Collard', 'Dominique Pozzetto', 'Emanuel Booz', 'Lino Ribeiro de Sousa', 'Asil Raïs', 'Bernard Richier', 'Marinette Richier']",3.07,nan,"['Horror', 'Thriller', 'Mystery']",133,"['Spain', 'France']",English,"['English', 'Spanish', 'Latin', 'Portuguese', 'French']","An all-expenses-paid international search for a rare copy of the book 'The Nine Gates of the Kingdom of Shadows' brings an unscrupulous book dealer deep into a world of murder, double-dealing and Satanic worship.","['R.P. Productions', 'Orly Films', 'Bac Films', 'Kino Visión', 'Origen Producciones Cinematograficas', 'Vía Digital', 'Canal+', 'TF1 Films Production']",142185,19418,20978,429,784,2159,2578,9018,11283,24160,16812,12816,2887,3702,86199,https://letterboxd.com/film/the-ninth-gate/
The Great Race,1965,Blake Edwards,"['Jack Lemmon', 'Tony Curtis', 'Natalie Wood', 'Peter Falk', 'Keenan Wynn', ""Arthur O'Connell"", 'Vivian Vance', 'Dorothy Provine', 'Larry Storch', 'Ross Martin', 'George Macready', 'Marvin Kaplan', 'Hal Smith', 'Denver Pyle', 'William Bryant', 'Ken Wales', 'Hal Needham', 'Raoul Retzer', 'Leslie Sketchley', 'Kenner G. Kemp', 'Bert Stevens', 'Arthur Tovey', 'Chuck Hayward', 'George Boyce', 'Jerry Schumacher', 'Charles Fredericks', 'Max Wagner', 'Paul Bryar', 'Jack Gordon', 'Sol Gorss', 'Harry Harvey', 'Bob Herron', 'Chuck Hicks', 'Christopher Riordan', 'Charles Seel', 'Paul Smith', 'Tom Steele', 'Dale Van Sickel', 'Sam Harris']",3.56,nan,"['Adventure', 'Comedy']",160,['USA'],English,"['English', 'Italian']","Professional daredevil and white-suited hero, The Great Leslie, convinces turn-of-the-century auto makers that a race from New York to Paris (westward across America, the Bering Straight and Russia) will help to promote automobile sales. Leslie's arch-rival, the mustached and black-attired Professor Fate vows to beat Leslie to the finish line in a car of Fate's own invention.","['Jalem Productions', 'Patricia Productions', 'Reynard Productions']",14049,6546,3428,165,22,87,107,421,639,1794,1982,2136,618,950,8756,https://letterboxd.com/film/the-great-race/
Days of Wine and Roses,1962,Blake Edwards,"['Jack Lemmon', 'Lee Remick', 'Charles Bickford', 'Jack Klugman', 'Alan Hewitt', 'Tom Palmer', 'Debbie Megowan', 'Maxine Stuart', 'Jack Albertson', 'Leon Alton', 'Don Anderson', 'Lynn Borden', 'George DeNormand', 'James Gonzalez', 'Kenner G. Kemp', 'Harold Miller', 'Bert Stevens', 'Arthur Tovey', 'Charlene Holt', 'Mary Benoit', 'Ella Ethridge', ""Pat O'Malley"", 'Mel Blanc', 'Gail Bonney', 'Dick Crockett', 'Russell Custer', 'Mathew McCue', 'Jennifer Edwards', 'Chuck Hicks', 'James Lanphier', 'Ken Lynch', ""Doye O'Dell"", 'Jack Riley', 'Tom Rosqui', 'Olan Soule', 'Katherine Squire', 'Charles Watts', 'Russ Bender', 'John Bard Manulis', 'Leoda Richards', 'Barbara Hines']",3.88,nan,"['Drama', 'Romance']",117,['USA'],English,['English'],"An alcoholic falls in love with and gets married to a young woman, whom he systematically addicts to booze so they can share his ""passion"" together.","['Jalem Productions', 'Warner Bros. Pictures']",12725,7646,3330,47,10,37,36,160,263,939,1744,3280,1208,993,8670,https://letterboxd.com/film/days-of-wine-and-roses/
Never Let Go,1960,John Guillermin,"['Richard Todd', 'Peter Sellers', 'Elizabeth Sellars', 'Adam Faith', 'Carol White', 'Mervyn Johns', 'Noel Willman', 'David Lodge', 'John Bailey', 'Nigel Stock', 'John Le Mesurier', 'Peter Jones', 'Roberta Tovey', 'Charles Houston', 'Cyril Shaps', 'Marianne Stone', 'Larry Martyn', 'Jan Holden']",3.49,nan,"['Crime', 'Thriller']",90,['UK'],English,['English'],"John Cummings, an unsuccessful cosmetics salesman, has his unpaid-for car stolen by one of the hoods in the employ of Lionel Meadows, the sadistic organizer of a London car conversion racket. The car was not insured, and since the police appear indifferent to his plight, Cummings decides to find it himself -- and gets himself involved in an underworld battle.",['Independent Artists'],1652,1453,388,0,0,6,10,34,70,291,344,334,58,36,1183,https://letterboxd.com/film/never-let-go/
On the Waterfront,1954,Elia Kazan,"['Marlon Brando', 'Karl Malden', 'Lee J. Cobb', 'Eva Marie Saint', 'Rod Steiger', 'Pat Henning', 'Leif Erickson', 'James Westerfield', 'Tony Galento', 'Tami Mauriello', 'John F. Hamilton', 'John Heldabrand', 'Rudy Bond', 'Don Blackman', 'Arthur Keegan', 'Abe Simon', 'Martin Balsam', 'Dan Bergin', 'Zachary Charles', 'Fred Gwynne', 'Anne Hegira', 'Pat Hingle', 'Katherine MacGregor', 'Barry Macollum', 'Tiger Joe Marsh', 'Nehemiah Persoff', 'Johnny Seven']",4.17,nan,"['Romance', 'Drama', 'Crime']",108,['USA'],English,['English'],"Terry Malloy is a kindhearted dockworker, and former boxer, who is tricked by his corrupt bosses into leading his friend to death. After falling in love, he tries to leave the waterfront and expose his employers.","['Columbia Pictures', 'Horizon Pictures']",161660,79410,43959,1000,129,261,275,1283,1921,8747,14991,35450,20748,21156,104961,https://letterboxd.com/film/on-the-waterfront/
Raging Bull,1980,Martin Scorsese,"['Robert De Niro', 'Cathy Moriarty', 'Joe Pesci', 'Frank Vincent', 'Nicholas Colasanto', 'Theresa Saldana', 'Mario Gallo', 'Frank Adonis', 'Joseph Bono', 'Frank Topham', 'Lori Anne Flax', 'Charles Scorsese', 'Don Dunphy', 'Bill Hanrahan', 'Rita Bennett', 'James V. Christy', 'Bernie Allen', 'Floyd Anderson', 'Gene LeBell', 'Harold Valan', 'Victor Magnotta', 'Johnny Barnes', 'John Thomas', 'Kenny Davis', 'Paul Carmello', 'Jimmy Lennon Sr.', 'Bobby Rings', 'Kevin Mahon', 'Marty Denkin', 'Shay Duffin', 'Eddie Mustafa Muhammad', 'Dick Whittington', 'Jack Lotz', 'Kevin Breslin', 'Louis Raftis', 'Frank Shain', 'Coley Wallace', 'Fritzie Higgins', 'George Latka', 'Fred Dennis', 'Robert B. Loring', 'Johnny Turner', 'Vern De Paul', 'Chuck Hassett', 'Ken Richards', 'Peter Fain', 'Billy Varga', 'Harvey Parry', 'Ted Husing', 'Michael Badalucco', 'Thomas Beansy Lobasso', 'Paul Forrest', 'Peter Petrella', 'Sal Serafino Tomassetti', 'Geraldine Smith', 'Mardik Martin', 'Maryjane Lauria', 'Linda Artuso', 'Peter Savage', 'Daniel P. Conte', 'Joe Malanga', 'Sabine Turco Jr.', 'Steve Orlando', 'Silvio García Jr.', 'John Arceri', 'Joseph A. Morale', 'James Dimodica', 'Robert Uricola', 'Andrea Orlando', 'Allan Malamud', 'D.J. Blair', 'Laura James', 'Richard McMurray', 'Mary Albee', 'Lisa Katz', 'Candy Moore', 'Richard A. Berk', 'Theodore Saunders', 'Noah Young', 'Nick Trisko', 'Lou Tiano', 'Bob Evan Collins', 'Wally K. Berns', 'Allen Joseph', 'Bob Aaron', 'Glenn Leigh Marshall', 'Martin Scorsese', 'Vincent Barbi', 'Joseph Bergmann', 'Scott Crawford', 'Dennis Crosswhite', 'Robert Dahdah', 'Vincent Di Paolo', 'Bruno DiGiorgi', 'Marty Farrell', 'R. Michael Givens', 'Charles Guardino', 'Bob Harks', 'Chuck Hicks', 'Michael Charles Hill', 'Walt La Rue', 'Angelo Lamonea', 'David LeBell', 'Tony Lip', 'Bill Mazer', 'Thomas Murphy', 'Gil Perkins', 'Jerry Schram', 'Glenn Stanton', 'John Turturro', 'McKenzie Westmore']",4.24,nan,['Drama'],129,['USA'],English,['English'],"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","['United Artists', 'Chartoff-Winkler Productions']",546112,182021,170213,5400,440,1109,943,4874,6066,27202,43901,120233,79928,96138,380834,https://letterboxd.com/film/raging-bull/
Revanche,2008,Götz Spielmann,"['Johannes Krisch', 'Irina Potapenko', 'Michael-Joachim Heiss', 'Andreas Lust', 'Hanno Pöschl', 'Ursula Strauss', 'Johannes Thanheiser', 'Linde Prelog', 'Magdalena Kropiunig', 'Toni Slama', 'Nicoletta Prokes', 'Rainer Gradischnig', 'Max Schmiedl', 'Johannes Zeiler']",3.97,nan,"['Crime', 'Drama', 'Romance']",121,['Austria'],German,['German'],Ex-con Alex plans to flee to the South with his girl after a robbery. But something terrible happens and revenge seems inevitable.,"['Spielmannfilm', 'Prisma Film']",16573,9593,4474,105,16,43,38,163,265,1128,2329,4710,2010,1133,11835,https://letterboxd.com/film/revanche/
The Pale Blue Eye,2022,Scott Cooper,"['Christian Bale', 'Harry Melling', 'Lucy Boynton', 'Toby Jones', 'Simon McBurney', 'Timothy Spall', 'Robert Duvall', 'Harry Lawtey', 'Gillian Anderson', 'Charlotte Gainsbourg', 'Hadley Robinson', 'Fred Hechinger', 'Joseph Brooks', 'Steven Maier', 'Brennan Keel Cook', 'Orlagh Cassidy', 'Scott G. Anderson', 'Gideon Glick', 'Jack Irv', 'Matt Helm', 'Mathias Goldstein', 'Charlie Tahan', 'Bill Cwikowski', 'Agnes Herrmann', 'Nicholas Bellavia', 'John Fetterman']",3.08,nan,"['Mystery', 'Thriller', 'Horror', 'Crime']",128,['USA'],English,"['English', 'French', 'Latin']","West Point, New York, 1830. When a cadet at the burgeoning military academy is found hanged with his heart cut out, the top brass summons former New York City constable Augustus Landor to investigate. While attempting to solve this grisly mystery, the reluctant detective engages the help of one of the cadets: a strange but brilliant young fellow by the name of Edgar Allan Poe.","['Cross Creek Pictures', 'Le Grisbi Productions']",202420,28088,33869,214,592,2052,2955,14142,23035,51039,34001,22058,3889,5246,159009,https://letterboxd.com/film/the-pale-blue-eye/
Promising Young Woman,2020,Emerald Fennell,"['Carey Mulligan', 'Bo Burnham', 'Alison Brie', 'Clancy Brown', 'Jennifer Coolidge', 'Laverne Cox', 'Christopher Lowell', 'Molly Shannon', 'Connie Britton', 'Adam Brody', 'Max Greenfield', 'Christopher Mintz-Plasse', 'Steve Monroe', 'Sam Richardson', 'Ray Nicholson', 'Timothy E. Goodwin', 'Alli Hart', 'Loren Paul', 'Scott Aschenbrenner', 'Gabriel Oliva', 'Bryan Lillis', 'Francisca Estevez', 'Lorna Scott', 'Casey Adams', 'Vince Lozano', 'Mike Horton', 'Angela Zhou', 'Austin Talynn Carpenter', 'Emerald Fennell', 'Alfred Molina']",3.67,nan,"['Crime', 'Drama', 'Thriller']",113,['USA'],English,['English'],"A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path.","['LuckyChap Entertainment', 'FilmNation Entertainment']",827556,144688,241512,6100,5351,9754,7975,27674,32508,89769,107474,179862,67290,92192,619849,https://letterboxd.com/film/promising-young-woman/
Marlowe,2022,Neil Jordan,"['Liam Neeson', 'Diane Kruger', 'Jessica Lange', 'Danny Huston', 'Alan Cumming', 'Ian Hart', 'Adewale Akinnuoye-Agbaje', 'Daniela Melchior', 'Patrick Muldoon', 'Colm Meaney', 'François Arnaud', 'Seána Kerslake', 'Stella Stocker', ""Darrell D'Silva"", 'Mitchell Mullen', 'Roberto Peralta', 'J.M. Maciá', 'Michael Garvey', 'Minnie Marx', 'David Lifschitz', 'Antonios Antoniadis', 'Luke Manning', 'Mark Schardan', 'Billy Jeffries', 'Gary Anthony Stennette', 'Julius Cotter', 'Michael Strelow', 'Tony Corvillo', 'Kim DeLonghi', 'Stephen Wilks', 'Alan Moloney', 'Brenda Rawn', 'Keith Gallagher', ""Lauren O'Leary""]",2.38,nan,['Crime'],109,"['France', 'Ireland', 'Spain', 'USA']",English,['English'],Private detective Philip Marlowe becomes embroiled in an investigation involving a wealthy Californian family after a beautiful blonde hires him to track down her former lover.,"['Parallel Films', 'H2L Media Group', 'Nickel City Pictures', 'StoryBoard Media', 'Davis Films', 'Aperture Media Partners', 'Elipsis Capital', 'Jeff Rice Films', 'The Foley Lab', 'Briarcliff Entertainment', 'Fís Éireann/Screen Ireland', 'Parallel Film Productions']",17478,4817,1656,5,440,1132,1473,3634,2944,3017,1032,497,52,104,14325,https://letterboxd.com/film/marlowe-2022/
