Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Description,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL
Cameraperson,2016,Kirsten Johnson,"['Kirsten Johnson', 'Jacques Derrida', 'Michael Moore', 'Richard Johnson']",4.13,nan,['Documentary'],102,['USA'],English,"['English', 'Bosnian', 'Arabic', 'Persian (Farsi)', 'Hausa']","As a visually radical memoir, CAMERAPERSON draws on the remarkable footage that filmmaker Kirsten Johnson has shot and reframes it in ways that illuminate moments and situations that have personally affected her. What emerges is an elegant meditation on the relationship between truth and the camera frame, as Johnson transforms scenes that have been presented on Festival screens as one kind of truth into another kind of story—one about personal journey, craft, and direct human connection.","['Fork Films', 'Big Mouth Productions', 'The Bertha Foundation', 'Chicken & Egg Films']",22879,17086,8580,384,31,49,49,196,270,1128,2084,4934,3362,3533,15636,https://letterboxd.com/film/cameraperson/
Baraka,1992,Ron Fricke,['Patrick Disanto'],4.31,nan,['Documentary'],97,['USA'],No spoken language,['No spoken language'],A paralysingly beautiful documentary with a global vision—an odyssey through landscape and time—that attempts to capture the essence of life.,['Magidson Films'],50892,18596,15825,729,51,118,76,342,449,1906,2975,8819,5582,10006,30324,https://letterboxd.com/film/baraka/
Deliverance,1972,John Boorman,"['Jon Voight', 'Burt Reynolds', 'Ned Beatty', 'Ronny Cox', 'Ed Ramey', 'Billy Redden', 'Seamon Glass', 'Randall Deal', 'Bill McKinney', ""Herbert 'Cowboy' Coward"", 'Lewis Crone', 'Ken Keener', 'Johnny Popwell', 'John Fowler', 'Kathy Rickman', 'Louise Coldren', 'Pete Ware', 'James Dickey', 'Macon McCalman', 'Hoyt Pollard', 'Belinda Beatty', 'Charley Boorman']",3.86,nan,"['Thriller', 'Drama', 'Adventure']",109,['USA'],English,['English'],"Intent on seeing the Cahulawassee River before it's turned into one huge lake, outdoor fanatic Lewis Medlock takes his friends on a river-rafting trip they'll never forget into the dangerous American back-country.","['Warner Bros. Pictures', 'Elmer Enterprises']",141225,45725,30814,283,183,418,394,2014,3017,12680,20046,32997,10563,7530,89842,https://letterboxd.com/film/deliverance/
The Wild Robot,2024,Chris Sanders,"[""Lupita Nyong'o"", 'Pedro Pascal', 'Kit Connor', 'Bill Nighy', 'Stephanie Hsu', 'Matt Berry', 'Ving Rhames', 'Mark Hamill', ""Catherine O'Hara"", 'Boone Storm', 'Alexandra Novelle', 'Raphael Alejandro', 'Paul-Mikél Williams', 'Eddie Park', 'Dee Bradley Baker', 'Randy Thom', 'Avrielle Corti', 'Keston John', 'Max Mittelman', 'Piotr Michael', 'Alessandro Beghi', 'Tiago Martinez', 'Becca Last', 'Madelyn Turpin', 'Kayleigh Rayne', 'Isabelle Tupin', 'Beckett Blomberg', 'Damon Fung', 'King Moore', 'Collin Erker']",4.26,nan,"['Family', 'Science Fiction', 'Animation']",102,['USA'],English,['English'],"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",['DreamWorks Animation'],483368,101959,231282,4800,236,557,609,2701,4955,22552,44995,121898,96673,142410,437586,https://letterboxd.com/film/the-wild-robot/
Zero Focus,1961,Yoshitaro Nomura,"['Yoshiko Kuga', 'Hizuru Takachiho', 'Ineko Arima', 'Kôji Nanbara', 'Kō Nishimura', 'Sadako Sawamura', 'Yoshi Katō', 'Mutsuko Sakura', 'Takanobu Hozumi', 'Hisao Toake', 'Masao Oda', 'Takamaru Sasaki', 'Toyo Takahashi', 'Mitsuko Ema', 'Junko Hara', 'Kentarô Imai', 'Zenichi Inagawa', 'Akio Isono', 'Michiko Katsura', 'Masanao Kawakane', 'Kazuo Kobayashi', 'Tazuko Kusaka', 'Reiko Minakami', 'Mitsuyo Mizushima', 'Kosuke Nono', 'Isao Suenaga', 'Nobuo Takagi', 'Yoshino Tani', 'Fumio Tooyama', 'Kimiyo Ōtsuka', 'Hideaki Nagai']",3.54,nan,"['Crime', 'Mystery', 'Drama']",95,['Japan'],Japanese,['Japanese'],"One week into newlywed Teiko Uhara's marriage, her husband, Kenichi, leaves on a short business trip and never returns. Teiko travels across Japan to search for him, and along the way discovers some surprising facts about her husband's past. With only a pair of old photographs among his belongings to go off of, Teiko tries to figure out what has happened to him.",['Shochiku'],1768,1509,414,3,2,1,6,24,59,274,392,329,57,38,1182,https://letterboxd.com/film/zero-focus/
Rififi,1955,Jules Dassin,"['Jean Servais', 'Carl Möhner', 'Robert Manuel', 'Janine Darcey', 'Pierre Grasset', 'Robert Hossein', 'Marcel Lupovici', 'Dominique Maurin', 'Magali Noël', 'Marie Sabouret', 'Claude Sylvain', 'Jules Dassin', 'Armandel', 'Alain Bouvette', 'Alice Garan', 'André Dalibert', 'Jacques David', 'Émile Genevois', 'Marcelle Hainia', 'Marcel Lesieur', 'Daniel Mendaille', 'Huguette Montréal', 'Lita Recio', 'Fernand Sardou', 'Jacques Besnard', 'Teddy Bilis', 'Marcel Rouzé', 'Roger Rudel']",4.25,nan,"['Crime', 'Drama', 'Thriller']",118,['France'],French,"['French', 'English', 'Italian']","Out of prison after a five-year stretch, jewel thief Tony turns down a quick job his friend Jo offers him, until he discovers that his old girlfriend Mado has become the lover of local gangster Pierre Grutter during Tony's absence. Expanding a minor smash-and-grab into a full-scale jewel heist, Tony and his crew appear to get away clean, but their actions after the job is completed threaten the lives of everyone involved.","['Indusfilms', 'Société Nationale Pathé Cinéma', 'Prima Films']",50476,35251,15720,222,27,58,66,256,423,2090,4661,12229,8296,6790,34896,https://letterboxd.com/film/rififi/
Newsies,1992,Kenny Ortega,"['Christian Bale', 'Bill Pullman', 'Ann-Margret', 'Robert Duvall', 'David Moscow', 'Luke Edwards', 'Max Casella', 'Gabriel Damon', 'Marty Belafsky', 'Aaron Lohr', 'Dee Caspary', 'Shon Greenblatt', 'Trey Parker', 'Michael A. Goorjian', 'Dominic Lucero', 'David Sidoni', 'Kevin Stea', 'Ele Keats', 'Jeffrey DeMunn', 'Deborra-Lee Furness', 'Marc Lawrence', 'Michael Lerner', 'Kevin Tighe', 'Charles Cioffi', 'William Boyett', 'Shay Duffin', 'Tom Finnegan', 'Frank Novak', 'Arvie Lowe, Jr.', 'Mark David']",3.4,nan,"['History', 'Family', 'Drama', 'Music']",121,['USA'],English,['English'],"A week in the life of the exploited, child newspaper sellers in turn-of-the-century New York. When their publisher, Joseph Pulitzer, tries to squeeze a little more profit out of their labours, they organize a strike, only to be confronted with the Pulitzer's hard-ball tactics.","['Walt Disney Pictures', 'Touchwood Pacific Partners 1']",60067,13602,12481,506,133,444,482,2178,2622,7703,5901,6121,1518,3740,30842,https://letterboxd.com/film/newsies/
Bad Trip,2021,Kitao Sakurai,"['Eric André', 'Lil Rel Howery', 'Tiffany Haddish', 'Michaela Conlin', 'Gerald Espinoza', 'Kaleila Johnson', 'Michael Starr', 'Yvette Tucker', 'Allan Graf', 'Kevin Cassidy', 'Cory DeMeyers', 'Henry Wang', 'Charles Green', 'Greg SmithAldridge', 'Adam Meir', 'Peter A. Chevako', 'Dimitry Elyashkevich', 'Guillermo Dionisio Insfran De Fazio', 'Giovanna Dan', 'Murisa Harba', 'Forrest Walsh', 'Anthony J. James', 'Rebecca Rose Goodman']",3.26,nan,['Comedy'],87,"['Canada', 'USA']",English,['English'],This mix of a scripted buddy comedy road movie and a real hidden camera prank show follows the outrageous misadventures of two buds stuck in a rut who embark on a cross-country road trip to NYC. The storyline sets up shocking real pranks.,"['Orion Pictures', 'Bron Studios', 'Creative Wealth Media Finance', 'The District', 'Gorilla Flicks']",129613,22067,32302,68,706,1516,1706,5645,8372,24542,23744,18869,3194,3537,91831,https://letterboxd.com/film/bad-trip-2021/
Public Enemies,2009,Michael Mann,"['Johnny Depp', 'Christian Bale', 'Marion Cotillard', 'Jason Clarke', 'Rory Cochrane', 'Billy Crudup', 'Stephen Dorff', 'Stephen Lang', 'John Ortiz', 'Giovanni Ribisi', 'David Wenham', 'John Michael Bolger', 'Bill Camp', 'Matt Craven', 'Don Frye', 'Christian Stolte', 'Spencer Garrett', 'Peter Gerety', 'Shawn Hatosy', 'Stephen Graham', 'John Hoogenakker', 'Branka Katić', 'Domenick Lombardozzi', 'Emilie de Ravin', 'Leelee Sobieski', 'David Warshofsky', 'Carey Mulligan', 'Channing Tatum', 'John Judd', 'Michael Vieau', 'John Kishline', 'James Russo', 'Wesley Walker', 'John Scherp', 'Elena Kenney', 'William Nero Jr.', 'Madison Dirks', 'Len Bajenski', 'Adam Clark', 'Andrzej Krukowski', 'Casey Siemaszko', 'Peter DeFaria', 'Jonathan Macchi', 'Jeff Shannon', 'Michael Sassone', 'Brian Connelly', 'Ed Bruce', 'Geoffrey Cantor', 'Chandler Williams', 'Robert Brooks Hollingsworth', 'David Paul Innes', 'Joe Carlson', 'Ben Mac Brown', 'Diana Krall', 'Duane Sharp', 'Richard Short', 'Randy Ryan', 'Kurt Naebig', 'Adam Mucci', 'Rebecca Spence', 'Danni Simon', 'Don Harvey', 'Shanyn Leigh', 'Laurence Mason', 'Randy Steinmeyer', 'Kris Wolff', 'Lili Taylor', 'Donald G. Asher', 'Andrew C. Steele', 'Philip M. Potempa', 'Brian McConkey', 'Alan Wilder', 'Michael Bentt', 'John Lister', 'Jim Carrane', 'Joseph Mazurk', 'John Fenner Mays', 'Rick Uecker', 'Craig Spidle', 'Jason T. Arnold', 'Andrew Blair', 'Mark Vallarta', 'Daniel Maldonado', 'Sean A. Rosales', 'Stephen Spencer', 'Patrick Zielinski', 'Gareth Saxe', 'Guy Van Swearingen', 'Jeff Still', 'Lance Baker', 'Steve Key', 'Jerry Goff', 'David Carde', 'Aaron Roman Weiner', 'Keith Kupferer', 'Turk Muller', 'Tim Grimm', 'Martie Sanders', 'Robyn LeAnn Scott', 'Jordan Lawson', 'Angelina Lyubomirova', 'Joel Thingvall']",3.2,nan,"['History', 'Crime', 'Drama']",140,['USA'],English,['English'],"Depression-era bank robber John Dillinger's charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis, the task of bringing him in dead or alive.","['Universal Pictures', 'Relativity Media', 'Forward Pass', 'Misher Films']",246852,31121,30940,157,619,2097,2659,12489,17174,42134,30157,22606,4197,4532,138664,https://letterboxd.com/film/public-enemies-2009/
The Public Enemy,1931,William A. Wellman,"['James Cagney', 'Jean Harlow', 'Edward Woods', 'Joan Blondell', 'Donald Cook', 'Leslie Fenton', 'Beryl Mercer', ""Robert Emmett O'Connor"", 'Murray Kinnell', 'Clark Burroughs', 'Mae Clarke', 'Frank Coghlan Jr.', 'George Daly', 'Frankie Darro', 'Snitz Edwards', 'Rita Flynn', 'Dorothy Gee', 'Douglas Gerrard', 'Dorothy Gray', 'Ben Hendricks Jr.', 'Robert Homans', 'Eddie Kane', 'Mia Marvin', 'Sam McDaniel', 'Helen Parrish', 'Lee Phelps', 'Russ Powell', 'Purnell Pratt', 'Nanci Price', 'Joe Sawyer', 'Landers Stevens', 'William H. Strauss', 'Charles Sullivan', 'Lucille Ward', 'Adele Watson']",3.71,nan,"['Drama', 'Crime']",84,['USA'],English,['English'],"Two young Chicago hoodlums, Tom Powers and Matt Doyle, rise up from their poverty-stricken slum life to become petty thieves, bootleggers and cold-blooded killers. But with street notoriety and newfound wealth, the duo feels the heat from the cops and rival gangsters both. Despite his ruthless criminal reputation, Tom tries to remain connected to his family, however, gang warfare and the need for revenge eventually pull him away.","['The Vitaphone Corporation', 'Warner Bros. Pictures']",35112,19865,7774,39,23,70,91,542,1003,4143,5440,7035,1819,1712,21878,https://letterboxd.com/film/the-public-enemy/
