Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
John Wick: Chapter 2,2017,Chad Stahelski,"['Keanu Reeves', 'Common', 'Ian McShane', 'Laurence Fishburne', 'Riccardo Scamarcio', 'Ruby Rose', 'Lance Reddick', 'Peter Stormare', 'Bridget Moynahan', 'Franco Nero', 'John Leguizamo', 'Claudia Gerini', 'Wass Stevens', 'Peter Serafinowicz', 'Luca Mosca', 'Tobias Segal', 'Thomas Sadoski', 'Chukwudi Iwuji', 'Yama', 'Erik Frandsen', 'David Patrick Kelly', 'Perry Yung', 'Youma Diakite', 'Midori Nakamura', 'Mario Donatone', 'Giorgio Carminati', 'Elli', 'Thaddeus Daniels', 'Margaret Daly', 'Christine Hollingsworth', 'Ciscandra Nostalghia', 'Vadim Kroll', 'Simone Spinazzè', 'Chris LaPanta', 'Guyviaud Joseph', 'Diane Gooch', 'Alisa Ermolaev', 'Kelly Rae LeGault', 'Joan Smalls', 'Basil Iwanyk Sr.', 'Airon Armstrong', 'Nico Toffoli', 'Aaron Cohen', 'Aly Mang', 'Nora Sommerkamp', 'Marmee Regine Cosico', 'Nancy Cejari', 'Kitty Crystal', 'Jennifer Dong', 'Sidney Beitz', 'Mark Vincent', 'Justin L. Wilson', 'Shade Rupe', 'Heidi Moneymaker', 'Angel Pai', 'Johnny Otto', 'Nobuya Shimamoto', 'Oleg Prudius', 'Alex Ziwak', 'Bruno Verdirosi', ""Ottaviano Dell'Acqua"", 'Tim Connolly', 'Kenny Sheard', 'Stephen Dunlevy', 'Niko Nedyalkov', 'Bill Walters', 'Claudia Delli Noci']",nan,3.69,https://letterboxd.com//film/john-wick-chapter-2/
The Third Man,1949,Carol Reed,"['Joseph Cotten', 'Alida Valli', 'Orson Welles', 'Trevor Howard', 'Paul Hörbiger', 'Ernst Deutsch', 'Erich Ponto', 'Siegfried Breuer', 'Hedwig Bleibtreu', 'Bernard Lee', 'Wilfrid Hyde-White', 'Alexis Chesnakov', 'Thomas Gallagher', 'Herbert Halbik', 'Hannah Norbert', 'Eric Pohlmann', 'Carol Reed', 'Annie Rosar', 'Frederick Schrecker', 'Hugo Schuster', 'Karl Stepanek', 'Theodore Gottlieb', 'Jenny Werner']",nan,4.27,https://letterboxd.com//film/the-third-man/
Akira,1988,Katsuhiro Otomo,"['Mitsuo Iwata', 'Nozomu Sasaki', 'Mami Koyama', 'Tessyo Genda', 'Koichi Kitamura', 'Yuriko Fuchizaki', 'Masaaki Okura', 'Takeshi Kusao', 'Kazuhiro Kamifuji', 'Tatsuhiko Nakamura', 'Fukue Itô', 'Yuka Ôno', 'Hiroshi Ôtake', 'Kazumi Tanaka', 'Masato Hirano', 'Masayuki Katô', 'Michihiro Ikemizu', 'Tarô Arakawa']",nan,4.26,https://letterboxd.com//film/akira/
Empire of the Sun,1987,Steven Spielberg,"['Christian Bale', 'John Malkovich', 'Miranda Richardson', 'Nigel Havers', 'Joe Pantoliano', 'Leslie Phillips', 'Masatō Ibu', 'Emily Richard', 'Rupert Frazer', 'Peter Gale', 'Takatarô Kataoka', 'Ben Stiller', 'David Neidorf', 'Ralph Seymour', 'Robert Stephens', 'Zhai Naishe', 'Guts Ishimatsu', 'Emma Piper', 'James Walker', 'Jack Dearlove', 'Anna Turner', 'Ann Castle', 'Yvonne Gilan', 'Ralph Michael', 'Sybil Maas', 'Eric Flynn', 'James Greene', 'Simon Harrison', 'Barrie Houghton', 'Paula Hamilton', 'Thea Ranft', 'Tony Boncza', 'Nigel Leach', 'Sheridan Forbes', 'Peter Copley', 'Barbara Bolton', 'Francesca Longrigg', 'Samantha Warden', 'Burt Kwouk', 'Tom Danaher', 'Paul McGann']",nan,3.79,https://letterboxd.com//film/empire-of-the-sun/
To Live and Die in L.A.,1985,William Friedkin,"['William Petersen', 'Willem Dafoe', 'John Pankow', 'Debra Feuer', 'John Turturro', 'Dean Stockwell', 'Darlanne Fluegel', 'Michael Greene', 'Steve James', 'Robert Downey Sr.', 'Christopher Allport', 'Valentin de Vargas', 'Jack Hoar', 'Dwier Brown', 'Michael Chong', 'Jacqueline Giroux', 'Michael Zand', 'Bobby Bass', 'Dar Robinson', 'Anne Betancourt', 'Katherine M. Louie', 'Edward Harrell', 'Gilbert Espinoza', 'John Petievich', 'Zarko Petievich', 'Rick Dalton', 'Richard L. Lane', 'Jack Cota', 'Shirley J. White', 'Gerald H. Brownlee', 'David M. DuFriend', 'Rubén García', 'Joe Duran', 'Buford McClerkins', 'Gregg Dandridge', 'Donnie Williams', 'Earnest Hart Jr.', 'Thomas F. Duffy', 'Gerald Petievich', 'Mark Gash', 'Pat McGroarty', 'Brian Bradley', 'Jane Leeves', 'Gary Cole']",nan,3.94,https://letterboxd.com//film/to-live-and-die-in-la/
Sorcerer,1977,William Friedkin,"['Roy Scheider', 'Bruno Cremer', 'Francisco Rabal', 'Amidou', 'Ramon Bieri', 'Peter Capell', 'Karl John', 'Friedrich von Ledebur', 'Chico Martínez', 'Joe Spinell', 'Rosario Almontes', 'Richard Holley', 'Anne-Marie Deschodt', 'Jean-Luc Bideau', 'Jacques François', 'André Falcon', 'Gerard Murphy', 'Desmond Crofton', 'Henry Diamond', 'Ray Dittrich', 'Frank Gio', 'Randy Jurgensen', ""Cosmo 'Gus' Allegretti""]",nan,4.2,https://letterboxd.com//film/sorcerer/
Sunshine,2007,Danny Boyle,"['Cillian Murphy', 'Rose Byrne', 'Chris Evans', 'Michelle Yeoh', 'Cliff Curtis', 'Hiroyuki Sanada', 'Troy Garity', 'Benedict Wong', 'Mark Strong', 'Paloma Baeza', 'Archie Macdonald', 'Sylvie Macdonald', 'Chipo Chung']",nan,3.68,https://letterboxd.com//film/sunshine-2007/
John Carter,2012,Andrew Stanton,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton', 'Willem Dafoe', 'Thomas Haden Church', 'Mark Strong', 'Ciarán Hinds', 'Dominic West', 'James Purefoy', 'Bryan Cranston', 'Polly Walker', 'Daryl Sabara', 'Arkie Reece', 'Davood Ghadami', 'Pippa Nixon', 'James Embree', 'Philip Philmar', 'Emily Tierney', 'Edmund Kente', 'Nicholas Woodeson', 'Kyle Agnew', 'Don Stark', 'Josh Daugherty', 'Jared Cyr', 'Christopher Goodman', 'Amanda Clayton', 'Joseph Billingiere', 'Steven Cree', 'Umit Ulgen', 'Sean Carrigan', 'Dusty Sorg', 'Akima Castaneda', 'Aldred Montoya', 'David Schwimmer', 'Emma Clifford', 'Jon Favreau', 'Art Malik', 'Holly Weston', 'Gary Milner', 'Cate Fowler', 'Darwin Shaw', 'Eileen Page', 'Myriam Acharki', 'Jill Baker', 'Debra Leigh-Taylor']",nan,2.66,https://letterboxd.com//film/john-carter/
Little Big Man,1970,Arthur Penn,"['Dustin Hoffman', 'Faye Dunaway', 'Chief Dan George', 'Martin Balsam', 'Richard Mulligan', 'Jeff Corey', 'Aimée Eccles', 'William Hickey', 'Alan Oppenheimer', 'Lou Cutell', 'M. Emmet Walsh', 'James Anderson', 'Jesse Vint', 'Thayer David', 'Philip Kenneally', 'Jack Bannon', 'Ray Dimas', 'Alan Howard', 'Jack Mullaney', 'Steve Miranda', 'Ken Mayer', 'Kelly Jean Peters', 'Carole Androsky', 'Robert Little Star', 'Cal Bellini', 'Ruben Moreno', 'Steve Shemayne']",nan,3.62,https://letterboxd.com//film/little-big-man/
The French Dispatch,2021,Wes Anderson,"['Benicio del Toro', 'Adrien Brody', 'Tilda Swinton', 'Léa Seydoux', 'Frances McDormand', 'Timothée Chalamet', 'Lyna Khoudri', 'Jeffrey Wright', 'Mathieu Amalric', 'Stephen Park', 'Bill Murray', 'Owen Wilson', 'Bob Balaban', 'Henry Winkler', 'Lois Smith', 'Tony Revolori', 'Denis Ménochet', 'Larry Pine', 'Morgane Polanski', 'Félix Moati', 'Mohamed Belhadjine', 'Nicolas Avinée', 'Christoph Waltz', 'Cécile de France', 'Guillaume Gallienne', 'Rupert Friend', 'Alex Lawther', 'Tom Hudson', 'Lily Taïeb', 'Stéphane Bak', 'Hippolyte Girardot', 'Liev Schreiber', 'Willem Dafoe', 'Edward Norton', 'Saoirse Ronan', 'Winsen Ait Hellal', 'Mauricette Coudivat', 'Damien Bonnard', 'Rodolphe Pauly', 'Antonia Desplat', 'Elisabeth Moss', 'Jason Schwartzman', 'Fisher Stevens', 'Griffin Dunne', 'Pablo Pauly', 'Wallace Wolodarsky', 'Anjelica Bette Fellini', 'Anjelica Huston', 'Krishna Bagadiya', 'Julien Lecat', 'Gaelle Puimaly', 'Leo Jennings', 'Alexandre Steiger', 'Philippe Peyraud', 'Gérard Merle', 'Jean Pierre Grasset', 'Yannick Begoin', 'Yves Gaillard', 'Jerome Caminotti', 'Pierre-Yves Martron', 'Philippe Pelletier', 'Landry Marinette', 'Natal Koli', 'Côme Loury', 'Victor Piechaud', 'Charlie Rosser', 'Mathys Raynaud', 'Thomas Poirson', 'Gabriel Mesnard', 'Raphael Delage', 'Briac Aubin', 'Raphael Bancarel', 'Tiago Allaire', 'Martin Frappier', 'Raphael Dias', 'Victorien Belly', 'Samuel Amblard', 'Sam Poupart', 'Milo Bancarel', 'Charles Audry', 'Francois Boussiron', 'Jean-Pierre Coudert', 'Patrick Morcelli', 'Bernard Richefort', 'Djemal Saidoun', 'Vincent Griere', 'Arthur Guillebaud', 'Mehdy Hassani', 'Jérémy Martincourt', 'Nicolas Pasciani', 'Eutrope Roger', 'Marti Torrens', 'Pierre Cantaral', 'Louis Changeur', 'Denis Havard', 'Halbo Kool', 'Pascal Lefort', 'Jean-Benoit Pinot', 'Gregory Sacriste', 'Antonio Terroso', 'Marc Tournier', 'Jean Marie Camps', 'Dominique Donnary', 'Claude Gaume', 'Jacques Grattepanch', 'Damien Nadaud', 'Gilbert Papponnaud', 'Robert Rabouin', 'Willem Rompen', 'Jacky Souchet', 'Malik Tati', 'Jean-Claude Audouin', 'Alban Ploix', 'Laurent Bauer', 'Fanny Taccoen', 'Tahnee Peterson Stuart', 'Maud Brethenoux', 'Anna Budanova', 'Audrey Chemin', 'Guillaume Ferrant', 'Nisrine Mofaraj', 'Polina Glangetat', 'Fabien Marcadet', 'Luc Louis', 'Karim Youssouf', 'Rudy Chaperon', 'Quentin Fournier', 'Orguiene Corniere', 'Manon Talandier', 'Lucas Bascans', 'Alexis Vignaud', 'Paul Raymond', 'Gilles Gauthier', 'Nahel Bahnas', 'Akim Bahnas', 'Antoine Foo Cheung', 'Francois Foo Cheung', 'Samy Guerry Ghindri', 'Felicien Marais', 'Nathanael Marfin', 'Basile Vinueas', 'Evelyne Chapeau', 'Paula Kvasnikoff', 'Vallier Vaudin', 'André Coussy', 'Hassane Haimoud', 'Pauline Chadanson', 'Carlotta Costanzi', 'Mauricette Genon', 'Christelle Grelier', 'Rachel Merabet Hrdy', 'Sara Lacroix', 'Delphine Landrieau', 'Louise Laveuve', 'Kylian Freslon', 'Meermout Didier', 'Nicolas Saada', 'Yannik Mazzilli', 'Guillaume Mailland', 'Victor Nicolas', 'Jean Delabre', 'François-Pierre Fol', 'Bruno Torres', 'Jean-Louis Verdier', 'Grégory Trouvé', 'Loic Baxas', 'Eliel Ford', 'Mathéo Sallat Desvard', 'Dominique Barrier', 'Pascal Champareau', 'Sacha Seguin', 'Jacky Vallantin', 'Domingos Enrico', 'Abdel Nour Bouaza', 'Fanny Rebuffic', 'Juliette Raffray', 'Lou Lampros', 'Odile Fougère', 'Sandro Kopp', 'Pedro Firmino Cunha Da Souza', 'Pascal Battelier', 'Lionel Lassuderie', 'Duc Minh', 'Cyril Morandiere', 'Benoit Nacaud', 'Jean Jacques Peyraud', 'Lubna Playoust', 'Patricia Richefort', 'Owen Nsimba Soba', 'Adrien Yeung', 'Jean-Michel Audoual', 'Félix Bouin', 'Patrick Brousse', 'Raynald Caraguel', 'Lhoussine Chinkir', 'Xavier Dupin', 'Eric Garaud', 'Morgan Lorca', 'Laurent Pizzolato', 'Romuald Cormeunier', 'Didier Da Costa', 'Antonio Da Silva', 'Charlie Defraine', 'Erick Dues', 'Jacques Fauvel', 'Yoann Gaillard', 'Anthony Poupart', 'Thierry Gonzalez', 'Sébastien Guignard', 'Raphael Lagrue', 'Simon Malyon', 'David Robles', 'Sharif Andoura', 'Gilles Gaston-Dreyfus', 'Laureen Perrocheau', 'Mallaury Reby Perrocheau', 'Sophie Fougère', 'Genevieve Brillet', 'Grégoire Leprince-Ringuet', 'Jarvis Cocker', 'Bruno Delbonnel', 'Bérénice Bernard', 'Jean Bourdet', 'Antoine Bourgeais', 'Lou Salomé Brizard', 'Zoé Delisle', 'Julies Desrosiers', 'Simon Ecary', 'Ida Fermaud', 'Hugo Fontaine', 'Raphael Gallego', 'Tom Grandadam', 'Adrien Hans', 'Yann Hedan', 'Adèle Herisson', 'Antoine Jové', 'Pierre Lamoureux', 'Quentin Ledru', 'Salomé Lesaffre', 'Rémi Larcher', 'Hugo Leonard', 'Elliot Lienard', 'Sybil Marzin', 'Thy-Lane Monnet', 'Munik Neth', 'Florine Paulius', 'Emeline Penet', 'Coline Peron', 'Constantin Rytz', 'Bertille Rondard', 'Alice Sarrauste', 'Igor Secherre', 'Laura Studden', 'Emilien Wiss', 'Boris Zanni', 'Angus Henderson', 'Gaëtan Billères', 'Sally Bruice', 'George Smith Burgess', 'Marie Derambure', 'Alix Champy', 'Victor Chevalarias', 'Lise Cordellier', 'Arthur Dalle', 'Lola Degove', 'Sean Delaunay', 'Michael Didier', 'Juliane Fath', 'Julie Gervaos', 'Rachel Guerineau', 'Guillaume Laverdant', 'Théo Malet', 'Titouan Maret', 'Stephen Martin', 'Nathan Mazeau', 'Lucas Nativel', 'Théo Navas', 'Marie Lucie Parisot', 'Émile Pélissier', 'Constance Prost', 'Matéo Salanave', 'Théo Hollando Sigot', 'Manon Taccoli', 'Gauthier Rigaud Perut', 'Raphael Coutant', 'Émilie Tronche', 'Toheeb Jimoh', 'Nick Croucher', 'Sam Haygarth', 'Samuel Blenkin', 'Jake Gorridge', 'Calvin Williams', 'Pierre Aloui', 'Louis Blanchard', 'Hugo Bony', 'Adrien Brault', 'Alex Chadeffaud', 'Matisse Croizard-Niveau', 'Alfie Flight', 'Théo Fibaque', 'Mathieu Grattard', 'Paul Lafon', 'Elie Mazalrey', 'Samuel Montgomery', 'Florian Salasse', 'Quentin Veillon', 'Benjamin Lavernhe', 'Gabriel Ryan', 'Léo Gack', 'Cécilia Anseeuw', 'Gilberto Fallat Valle', 'Monique Lapeyre', ""Christian 'Kiki' Delpey"", 'Cyril Sierk', 'Jean-Claude Loulmet', 'Jean-Pierre Chabernaud', 'Olivier Lecossois', 'Philippe Szezepanski', 'Noël Wojcik', 'Gontran Bisserier', 'Christian Cordoba', 'Thibault Descamps', 'Jonathan Herbon', 'Marceau Jarrossay', 'Tiburce Oger', 'Noé Richefeux', 'Gilles Verdegay', 'Kublah Diezi', 'Stéphane Le Bras', 'Armand Pierdon', 'Gilles Frougier']",nan,3.71,https://letterboxd.com//film/the-french-dispatch/
